Year     Value
1001     0.066
1002     0.046
1003     0.046
1004     0.046
1005     0.047
1006     0.047
1007     0.046
1008     0.047
1009     0.047
1010     0.047
1011     0.048
1012     0.048
1013     0.049
1014     0.050
1015     0.050
1016     0.050
1017     0.050
1018     0.051
1019     0.052
1020     0.052
1021     0.053
1022     0.053
1023     0.053
1024     0.054
1025     0.054
1026     0.054
1027     0.055
1028     0.055
1029     0.056
1030     0.056
1031     0.057
1032     0.057
1033     0.058
1034     0.059
1035     0.059
1036     0.059
1037     0.059
1038     0.059
1039     0.060
1040     0.062
1041     0.062
1042     0.064
1043     0.062
1044     0.064
1045     0.064
1046     0.065
1047     0.065
1048     0.066
1049     0.067
1050     0.067
1051     0.068
1052     0.067
1053     0.068
1054     0.069
1055     0.070
1056     0.070
1057     0.071
1058     0.071
1059     0.072
1060     0.072
1061     0.073
1062     0.072
1063     0.074
1064     0.075
1065     0.074
1066     0.075
1067     0.075
1068     0.076
1069     0.076
1070     0.077
1071     0.076
1072     0.077
1073     0.077
1074     0.078
1075     0.078
1076     0.079
1077     0.080
1078     0.080
1079     0.080
1080     0.081
1081     0.082
1082     0.081
1083     0.082
1084     0.082
1085     0.082
1086     0.083
1087     0.083
1088     0.083
1089     0.085
1090     0.084
1091     0.086
1092     0.087
1093     0.086
1094     0.087
1095     0.086
1096     0.087
1097     0.087
1098     0.087
1099     0.087
1100     0.086
1101     0.086
1102     0.086
1103     0.087
1104     0.085
1105     0.085
1106     0.085
1107     0.085
1108     0.085
1109     0.085
1110     0.084
1111     0.085
1112     0.084
1113     0.085
1114     0.084
1115     0.084
1116     0.086
1117     0.085
1118     0.087
1119     0.085
1120     0.086
1121     0.085
1122     0.085
1123     0.087
1124     0.086
1125     0.086
1126     0.087
1127     0.087
1128     0.087
1129     0.087
1130     0.086
1131     0.087
1132     0.088
1133     0.088
1134     0.088
1135     0.087
1136     0.088
1137     0.089
1138     0.088
1139     0.089
1140     0.088
1141     0.087
1142     0.086
1143     0.086
1144     0.086
1145     0.087
1146     0.087
1147     0.086
1148     0.086
1149     0.085
1150     0.086
1151     0.083
1152     0.084
1153     0.085
1154     0.085
1155     0.084
1156     0.084
1157     0.084
1158     0.086
1159     0.085
