Year     Value
 900    -0.003
 901    -0.003
 902    -0.003
 903    -0.003
 904    -0.003
 905    -0.003
 906    -0.003
 907    -0.003
 908    -0.003
 909    -0.003
 910    -0.003
 911    -0.003
 912    -0.003
 913    -0.003
 914    -0.003
 915    -0.003
 916    -0.003
 917    -0.003
 918    -0.003
 919    -0.003
 920    -0.003
 921    -0.003
 922    -0.003
 923    -0.003
 924    -0.003
 925    -0.003
 926    -0.003
 927    -0.003
 928    -0.003
 929    -0.003
 930    -0.003
 931    -0.003
 932    -0.003
 933    -0.003
 934    -0.003
 935    -0.003
 936    -0.003
 937    -0.003
 938    -0.003
 939    -0.003
 940    -0.003
 941    -0.003
 942    -0.008
 943    -0.013
 944    -0.013
 945    -0.013
 946    -0.013
 947    -0.013
 948    -0.013
 949    -0.013
 950    -0.013
 951    -0.013
 952    -0.013
 953    -0.013
 954    -0.013
 955    -0.013
 956    -0.013
 957    -0.013
 958    -0.013
 959    -0.013
 960    -0.013
 961    -0.013
 962    -0.013
 963    -0.013
 964    -0.013
 965    -0.013
 966    -0.013
 967    -0.013
 968    -0.013
 969    -0.013
 970    -0.013
 971    -0.013
 972    -0.013
 973    -0.013
 974    -0.013
 975    -0.013
 976    -0.013
 977    -0.013
 978    -0.013
 979    -0.013
 980    -0.013
 981    -0.013
 982    -0.013
 983    -0.013
 984    -0.013
 985    -0.013
 986    -0.013
 987    -0.013
 988    -0.013
 989    -0.013
 990    -0.013
 991    -0.013
 992    -0.013
 993    -0.013
 994    -0.013
 995    -0.013
 996    -0.013
 997    -0.013
 998    -0.013
 999    -0.013
1000    -0.013
1001    -0.013
1002    -0.018
1003    -0.023
1004    -0.023
1005    -0.023
1006    -0.023
1007    -0.023
1008    -0.023
1009    -0.023
1010    -0.023
1011    -0.023
1012    -0.023
1013    -0.023
1014    -0.023
1015    -0.023
1016    -0.023
1017    -0.023
1018    -0.023
1019    -0.023
1020    -0.023
1021    -0.023
1022    -0.023
1023    -0.023
1024    -0.023
1025    -0.023
1026    -0.023
1027    -0.023
1028    -0.023
1029    -0.023
1030    -0.023
1031    -0.023
1032    -0.023
1033    -0.023
1034    -0.023
1035    -0.023
1036    -0.023
1037    -0.023
1038    -0.023
1039    -0.023
1040    -0.023
1041    -0.023
1042    -0.023
1043    -0.023
1044    -0.023
1045    -0.023
1046    -0.023
1047    -0.023
1048    -0.023
1049    -0.023
1050    -0.023
1051    -0.023
1052    -0.023
1053    -0.023
1054    -0.023
1055    -0.023
1056    -0.023
1057    -0.023
1058    -0.023
1059    -0.023
1060    -0.023
1061    -0.023
1062    -0.023
1063    -0.023
1064    -0.023
1065    -0.023
1066    -0.023
1067    -0.023
1068    -0.023
1069    -0.023
1070    -0.023
1071    -0.023
1072    -0.023
1073    -0.023
1074    -0.023
1075    -0.023
1076    -0.028
1077    -0.033
1078    -0.033
1079    -0.033
1080    -0.033
1081    -0.033
1082    -0.033
1083    -0.033
1084    -0.033
1085    -0.033
1086    -0.033
1087    -0.033
1088    -0.028
1089    -0.023
1090    -0.023
1091    -0.023
1092    -0.023
1093    -0.023
1094    -0.023
1095    -0.023
1096    -0.023
1097    -0.023
1098    -0.023
1099    -0.023
1100    -0.018
1101    -0.008
1102    -0.003
1103    -0.003
1104    -0.003
1105    -0.003
1106    -0.003
1107    -0.003
1108    -0.003
1109    -0.003
1110    -0.003
1111    -0.003
1112    -0.003
1113    -0.003
1114    -0.003
1115    -0.003
1116     0.002
1117     0.007
1118     0.007
1119     0.007
1120     0.007
1121     0.007
1122     0.007
1123     0.007
1124     0.007
1125     0.007
1126     0.007
1127     0.007
1128     0.007
1129     0.007
1130     0.007
1131     0.007
1132     0.007
1133     0.007
1134     0.007
1135     0.007
1136     0.007
1137     0.012
1138     0.017
1139     0.017
1140     0.017
1141     0.017
1142     0.017
1143     0.017
1144     0.017
1145     0.017
1146     0.017
1147     0.017
1148     0.017
1149     0.017
1150     0.017
1151     0.017
1152     0.017
1153     0.017
1154     0.017
1155     0.017
1156     0.017
1157     0.017
1158     0.017
1159     0.017
1160     0.017
1161     0.017
1162     0.017
1163     0.017
1164     0.017
1165     0.017
1166     0.022
1167     0.027
1168     0.027
1169     0.027
1170     0.027
1171     0.027
1172     0.027
1173     0.027
1174     0.027
1175     0.027
1176     0.027
1177     0.027
1178     0.027
1179     0.027
1180     0.027
1181     0.027
1182     0.027
1183     0.027
1184     0.022
1185     0.017
1186     0.017
1187     0.017
1188     0.017
1189     0.017
1190     0.017
1191     0.017
1192     0.017
1193     0.017
1194     0.017
1195     0.017
1196     0.017
1197     0.017
1198     0.017
1199     0.017
1200     0.017
1201     0.017
1202     0.012
1203     0.007
1204     0.007
1205     0.007
1206     0.007
1207     0.007
1208     0.007
1209     0.007
1210     0.007
1211     0.007
1212     0.007
1213     0.002
1214    -0.003
1215    -0.003
1216    -0.003
1217    -0.003
1218    -0.003
1219    -0.003
1220    -0.003
1221    -0.008
1222    -0.013
1223    -0.013
1224    -0.013
1225    -0.013
1226    -0.013
1227    -0.013
1228    -0.013
1229    -0.013
1230    -0.013
1231    -0.013
1232    -0.018
1233    -0.023
1234    -0.023
1235    -0.023
1236    -0.023
1237    -0.023
1238    -0.023
1239    -0.023
1240    -0.023
1241    -0.023
1242    -0.023
1243    -0.023
1244    -0.023
1245    -0.023
1246    -0.023
1247    -0.023
1248    -0.023
1249    -0.023
1250    -0.023
1251    -0.023
1252    -0.023
1253    -0.023
1254    -0.023
1255    -0.023
1256    -0.023
1257    -0.023
1258    -0.023
1259    -0.023
1260    -0.023
1261    -0.023
1262    -0.023
1263    -0.023
1264    -0.023
1265    -0.023
1266    -0.023
1267    -0.023
1268    -0.023
1269    -0.023
1270    -0.018
1271    -0.013
1272    -0.013
1273    -0.013
1274    -0.013
1275    -0.013
1276    -0.013
1277    -0.013
1278    -0.013
1279    -0.013
1280    -0.013
1281    -0.013
1282    -0.013
1283    -0.008
1284    -0.003
1285    -0.003
1286    -0.003
1287    -0.003
1288    -0.003
1289    -0.003
1290    -0.003
1291     0.002
1292     0.007
1293     0.007
1294     0.007
1295     0.012
1296     0.017
1297     0.017
1298     0.017
1299     0.017
1300     0.017
1301     0.017
1302     0.017
1303     0.017
1304     0.017
1305     0.017
1306     0.017
1307     0.017
1308     0.017
1309     0.017
1310     0.017
1311     0.017
1312     0.017
1313     0.017
1314     0.017
1315     0.017
1316     0.017
1317     0.017
1318     0.017
1319     0.017
1320     0.017
1321     0.017
1322     0.017
1323     0.017
1324     0.017
1325     0.017
1326     0.017
1327     0.017
1328     0.017
1329     0.017
1330     0.017
1331     0.017
1332     0.017
1333     0.017
1334     0.012
1335     0.007
1336     0.007
1337     0.007
1338     0.007
1339     0.007
1340     0.007
1341     0.007
1342     0.002
1343    -0.003
1344    -0.003
1345    -0.003
1346    -0.003
1347    -0.003
1348    -0.003
1349    -0.008
1350    -0.013
1351    -0.013
1352    -0.013
1353    -0.013
1354    -0.013
1355    -0.013
1356    -0.013
1357    -0.018
1358    -0.023
1359    -0.023
1360    -0.023
1361    -0.023
1362    -0.023
1363    -0.023
1364    -0.028
1365    -0.033
1366    -0.038
1367    -0.043
1368    -0.043
1369    -0.043
1370    -0.043
1371    -0.043
1372    -0.043
1373    -0.043
1374    -0.043
1375    -0.043
1376    -0.048
1377    -0.053
1378    -0.053
1379    -0.053
1380    -0.053
1381    -0.053
1382    -0.053
1383    -0.053
1384    -0.053
1385    -0.053
1386    -0.053
1387    -0.053
1388    -0.053
1389    -0.053
1390    -0.053
1391    -0.048
1392    -0.043
1393    -0.048
1394    -0.053
1395    -0.053
1396    -0.053
1397    -0.053
1398    -0.053
1399    -0.053
1400    -0.053
1401    -0.048
1402    -0.043
1403    -0.043
1404    -0.043
1405    -0.043
1406    -0.043
1407    -0.043
1408    -0.043
1409    -0.043
1410    -0.038
1411    -0.033
1412    -0.033
1413    -0.033
1414    -0.033
1415    -0.033
1416    -0.033
1417    -0.033
1418    -0.033
1419    -0.033
1420    -0.028
1421    -0.023
1422    -0.023
1423    -0.023
1424    -0.023
1425    -0.023
1426    -0.023
1427    -0.023
1428    -0.023
1429    -0.023
1430    -0.023
1431    -0.023
1432    -0.023
1433    -0.023
1434    -0.023
1435    -0.023
1436    -0.023
1437    -0.023
1438    -0.023
1439    -0.023
1440    -0.023
1441    -0.028
1442    -0.033
1443    -0.033
1444    -0.033
1445    -0.033
1446    -0.033
1447    -0.038
1448    -0.043
1449    -0.043
1450    -0.043
1451    -0.048
1452    -0.053
1453    -0.053
1454    -0.053
1455    -0.058
1456    -0.063
1457    -0.063
1458    -0.063
1459    -0.068
1460    -0.073
1461    -0.068
1462    -0.063
1463    -0.063
1464    -0.063
1465    -0.063
1466    -0.063
1467    -0.063
1468    -0.063
1469    -0.063
1470    -0.063
1471    -0.063
1472    -0.063
1473    -0.063
1474    -0.063
1475    -0.063
1476    -0.063
1477    -0.058
1478    -0.053
1479    -0.053
1480    -0.053
1481    -0.053
1482    -0.048
1483    -0.043
1484    -0.043
1485    -0.043
1486    -0.038
1487    -0.033
1488    -0.033
1489    -0.033
1490    -0.033
1491    -0.028
1492    -0.023
1493    -0.023
1494    -0.023
1495    -0.013
1496    -0.003
1497    -0.003
1498    -0.003
1499    -0.003
1500    -0.003
