Year     Value
1001     0.034
1002     0.014
1003     0.015
1004     0.014
1005     0.015
1006     0.016
1007     0.015
1008     0.016
1009     0.016
1010     0.017
1011     0.017
1012     0.018
1013     0.019
1014     0.020
1015     0.020
1016     0.020
1017     0.020
1018     0.021
1019     0.022
1020     0.021
1021     0.023
1022     0.023
1023     0.023
1024     0.024
1025     0.024
1026     0.024
1027     0.025
1028     0.025
1029     0.026
1030     0.026
1031     0.027
1032     0.028
1033     0.028
1034     0.030
1035     0.030
1036     0.031
1037     0.033
1038     0.033
1039     0.034
1040     0.036
1041     0.036
1042     0.038
1043     0.036
1044     0.038
1045     0.038
1046     0.039
1047     0.040
1048     0.040
1049     0.041
1050     0.041
1051     0.042
1052     0.041
1053     0.042
1054     0.044
1055     0.044
1056     0.045
1057     0.045
1058     0.046
1059     0.047
1060     0.047
1061     0.048
1062     0.047
1063     0.049
1064     0.049
1065     0.049
1066     0.050
1067     0.050
1068     0.051
1069     0.051
1070     0.052
1071     0.052
1072     0.052
1073     0.053
1074     0.053
1075     0.054
1076     0.055
1077     0.055
1078     0.056
1079     0.055
1080     0.057
1081     0.057
1082     0.057
1083     0.057
1084     0.058
1085     0.058
1086     0.059
1087     0.059
1088     0.059
1089     0.061
1090     0.061
1091     0.062
1092     0.063
1093     0.062
1094     0.063
1095     0.063
1096     0.063
1097     0.063
1098     0.063
1099     0.064
1100     0.063
1101     0.063
1102     0.063
1103     0.063
1104     0.062
1105     0.062
1106     0.062
1107     0.063
1108     0.063
1109     0.063
1110     0.062
1111     0.064
1112     0.063
1113     0.065
1114     0.064
1115     0.064
1116     0.066
1117     0.065
1118     0.067
1119     0.066
1120     0.067
1121     0.067
1122     0.067
1123     0.069
1124     0.067
1125     0.068
1126     0.069
1127     0.069
1128     0.070
1129     0.070
1130     0.070
1131     0.070
1132     0.072
1133     0.072
1134     0.072
1135     0.072
1136     0.073
1137     0.074
1138     0.073
1139     0.075
1140     0.074
1141     0.074
1142     0.073
1143     0.074
1144     0.073
1145     0.074
1146     0.075
1147     0.074
1148     0.075
1149     0.074
1150     0.076
1151     0.073
1152     0.074
1153     0.074
1154     0.074
1155     0.074
1156     0.074
1157     0.074
1158     0.076
1159     0.075
1160     0.077
1161     0.077
1162     0.077
1163     0.078
1164     0.078
1165     0.076
1166     0.078
1167     0.079
1168     0.079
1169     0.079
1170     0.080
1171     0.078
1172     0.079
1173     0.081
1174     0.078
1175     0.078
1176     0.080
1177     0.079
1178     0.081
1179     0.080
1180     0.080
1181     0.078
1182     0.078
1183     0.079
1184     0.080
1185     0.079
1186     0.079
1187     0.080
1188     0.080
1189     0.078
1190     0.080
1191     0.080
1192     0.079
1193     0.080
1194     0.078
1195     0.078
1196     0.079
1197     0.079
1198     0.079
1199     0.078
1200     0.075
1201     0.072
1202     0.073
1203     0.073
1204     0.071
1205     0.071
1206     0.069
1207     0.070
1208     0.070
1209     0.068
1210     0.069
1211     0.066
1212     0.067
1213     0.069
