Year     Value
1000     0.000
1001    -0.013
1002    -0.026
1003    -0.038
1004    -0.050
1005    -0.061
1006    -0.072
1007    -0.082
1008    -0.090
1009    -0.098
1010    -0.105
1011    -0.112
1012    -0.117
1013    -0.122
1014    -0.126
1015    -0.130
1016    -0.132
1017    -0.135
1018    -0.136
1019    -0.137
1020    -0.138
1021    -0.138
1022    -0.137
1023    -0.136
1024    -0.135
1025    -0.133
1026    -0.131
1027    -0.128
1028    -0.125
1029    -0.122
1030    -0.119
1031    -0.115
1032    -0.111
1033    -0.107
1034    -0.103
1035    -0.098
1036    -0.094
1037    -0.089
1038    -0.085
1039    -0.080
1040    -0.076
1041    -0.071
1042    -0.067
1043    -0.062
1044    -0.058
1045    -0.054
1046    -0.050
1047    -0.046
1048    -0.043
1049    -0.039
1050    -0.036
1051    -0.033
1052    -0.030
1053    -0.028
1054    -0.025
1055    -0.023
1056    -0.021
1057    -0.019
1058    -0.017
1059    -0.015
1060    -0.014
1061    -0.012
1062    -0.011
1063    -0.010
1064    -0.008
1065    -0.008
1066    -0.007
1067    -0.006
1068    -0.005
1069    -0.005
1070    -0.004
1071    -0.004
1072    -0.003
1073    -0.003
1074    -0.003
1075    -0.003
1076    -0.003
1077    -0.003
1078    -0.003
1079    -0.003
1080    -0.003
1081    -0.003
1082    -0.003
1083    -0.003
1084    -0.004
1085    -0.004
1086    -0.004
1087    -0.004
1088    -0.004
1089    -0.005
1090    -0.005
1091    -0.005
1092    -0.005
1093    -0.005
1094    -0.006
1095    -0.005
1096    -0.006
1097    -0.005
1098    -0.005
1099    -0.005
1100    -0.005
1101    -0.005
1102    -0.005
1103    -0.005
1104    -0.004
1105    -0.004
1106    -0.004
1107    -0.003
1108    -0.003
1109    -0.002
1110    -0.002
1111    -0.001
1112    -0.001
1113     0.000
1114     0.000
1115     0.001
1116     0.002
1117     0.002
1118     0.003
1119     0.004
1120     0.004
1121     0.005
1122     0.006
1123     0.006
1124     0.007
1125     0.008
1126     0.009
1127     0.010
1128     0.010
1129     0.011
1130     0.012
1131     0.013
1132     0.013
1133     0.014
1134     0.015
1135     0.016
1136     0.016
1137     0.017
1138     0.018
1139     0.019
1140     0.019
1141     0.020
1142     0.021
1143     0.022
1144     0.022
1145     0.023
1146     0.024
1147     0.024
1148     0.025
1149     0.025
1150     0.026
1151     0.027
1152     0.027
1153     0.028
1154     0.028
1155     0.029
1156     0.029
1157     0.030
1158     0.030
1159     0.030
1160     0.031
1161     0.031
1162     0.031
1163     0.032
1164     0.032
1165     0.032
1166     0.032
1167     0.033
1168     0.033
1169     0.033
1170     0.033
1171     0.033
1172     0.033
1173     0.033
1174     0.033
1175     0.033
1176     0.033
1177     0.033
1178     0.033
1179     0.033
1180     0.033
1181     0.033
1182     0.033
1183     0.033
1184     0.032
1185     0.032
1186     0.032
1187     0.032
1188     0.031
1189     0.031
1190     0.031
1191     0.030
1192     0.030
1193     0.029
1194     0.029
1195     0.028
1196     0.028
1197     0.027
1198     0.026
1199     0.026
1200     0.025
1201     0.024
1202     0.024
1203     0.023
1204     0.022
1205     0.021
1206     0.021
1207     0.020
1208     0.019
1209     0.018
1210     0.017
1211     0.016
1212     0.015
1213     0.014
1214     0.014
1215     0.013
1216     0.012
1217     0.011
1218     0.010
1219     0.009
1220     0.008
1221     0.007
1222     0.006
1223     0.005
1224     0.005
1225     0.003
1226     0.003
1227     0.002
1228     0.001
1229     0.000
1230    -0.001
1231    -0.002
1232    -0.002
1233    -0.003
1234    -0.004
1235    -0.005
1236    -0.006
1237    -0.006
1238    -0.007
1239    -0.008
1240    -0.009
1241    -0.009
1242    -0.010
1243    -0.010
1244    -0.011
1245    -0.011
1246    -0.012
1247    -0.013
1248    -0.013
1249    -0.013
1250    -0.014
1251    -0.014
1252    -0.014
1253    -0.015
1254    -0.015
1255    -0.015
1256    -0.015
1257    -0.015
1258    -0.016
1259    -0.016
1260    -0.016
1261    -0.016
1262    -0.016
1263    -0.016
1264    -0.016
1265    -0.016
1266    -0.016
1267    -0.015
1268    -0.015
1269    -0.015
1270    -0.015
1271    -0.015
1272    -0.014
1273    -0.014
1274    -0.014
1275    -0.014
1276    -0.014
1277    -0.013
1278    -0.013
1279    -0.012
1280    -0.012
1281    -0.012
1282    -0.011
1283    -0.011
1284    -0.010
1285    -0.010
1286    -0.009
1287    -0.009
1288    -0.008
1289    -0.008
1290    -0.007
1291    -0.007
1292    -0.006
1293    -0.005
1294    -0.005
1295    -0.004
1296    -0.004
1297    -0.003
1298    -0.002
1299    -0.002
1300    -0.001
1301     0.000
1302     0.000
1303     0.001
1304     0.002
1305     0.002
1306     0.003
1307     0.004
1308     0.005
1309     0.005
1310     0.006
1311     0.007
1312     0.007
1313     0.008
1314     0.009
1315     0.010
1316     0.010
1317     0.011
1318     0.012
1319     0.013
1320     0.013
1321     0.014
1322     0.015
1323     0.016
1324     0.016
1325     0.017
1326     0.018
1327     0.019
1328     0.019
1329     0.020
1330     0.021
1331     0.022
1332     0.022
1333     0.023
1334     0.024
1335     0.024
1336     0.025
1337     0.026
1338     0.026
1339     0.027
1340     0.028
1341     0.029
1342     0.029
1343     0.030
1344     0.031
1345     0.031
1346     0.032
1347     0.032
1348     0.033
1349     0.034
1350     0.034
1351     0.035
1352     0.035
1353     0.036
1354     0.036
1355     0.037
1356     0.037
1357     0.038
1358     0.038
1359     0.039
1360     0.039
1361     0.040
1362     0.040
1363     0.041
1364     0.041
1365     0.041
1366     0.042
1367     0.042
1368     0.042
1369     0.042
1370     0.043
1371     0.043
1372     0.043
1373     0.044
1374     0.044
1375     0.044
1376     0.044
1377     0.044
1378     0.044
1379     0.044
1380     0.044
1381     0.044
1382     0.045
1383     0.044
1384     0.044
1385     0.044
1386     0.044
1387     0.044
1388     0.044
1389     0.044
1390     0.044
1391     0.043
1392     0.043
1393     0.043
1394     0.043
1395     0.042
1396     0.042
1397     0.041
1398     0.041
1399     0.041
1400     0.040
1401     0.040
1402     0.039
1403     0.038
1404     0.038
1405     0.037
1406     0.037
1407     0.036
1408     0.035
1409     0.034
1410     0.033
