Year     Value
1500    -0.056
1501    -0.056
1502    -0.056
1503    -0.056
1504    -0.056
1505    -0.056
1506    -0.056
1507    -0.056
1508    -0.056
1509    -0.056
1510    -0.056
1511    -0.056
1512    -0.056
1513    -0.056
1514    -0.056
1515    -0.056
1516    -0.056
1517    -0.056
1518    -0.056
1519    -0.056
1520    -0.056
1521    -0.056
1522    -0.056
1523    -0.056
1524    -0.056
1525    -0.056
1526    -0.056
1527    -0.056
1528    -0.056
1529    -0.056
1530    -0.056
1531    -0.056
1532    -0.056
1533    -0.056
1534    -0.056
1535    -0.056
1536    -0.056
1537    -0.056
1538    -0.056
1539    -0.056
1540    -0.056
1541    -0.056
1542    -0.056
1543    -0.056
1544    -0.056
1545    -0.056
1546    -0.056
1547    -0.056
1548    -0.056
1549    -0.056
1550    -0.056
1551    -0.056
1552    -0.056
1553    -0.056
1554    -0.056
1555    -0.056
1556    -0.056
1557    -0.056
1558    -0.056
1559    -0.056
1560    -0.056
1561    -0.056
1562    -0.056
1563    -0.056
1564    -0.056
1565    -0.056
1566    -0.056
1567    -0.056
1568    -0.056
1569    -0.056
1570    -0.056
1571    -0.056
1572    -0.056
1573    -0.056
1574    -0.056
1575    -0.056
1576    -0.056
1577    -0.056
1578    -0.056
1579    -0.056
1580    -0.056
1581    -0.056
1582    -0.056
1583    -0.056
1584    -0.056
1585    -0.056
1586    -0.056
1587    -0.056
1588    -0.056
1589    -0.056
1590    -0.056
1591    -0.056
1592    -0.056
1593    -0.056
1594    -0.056
1595    -0.056
1596    -0.056
1597    -0.056
1598    -0.056
1599    -0.056
1600    -0.056
1601    -0.056
1602    -0.056
1603    -0.056
1604    -0.056
1605    -0.056
1606    -0.056
1607    -0.056
1608    -0.056
1609    -0.056
1610    -0.056
1611    -0.056
1612    -0.056
1613    -0.056
1614    -0.056
1615    -0.056
1616    -0.056
1617    -0.056
1618    -0.056
1619    -0.056
1620    -0.056
1621    -0.056
1622    -0.056
1623    -0.056
1624    -0.056
1625    -0.056
1626    -0.056
1627    -0.056
1628    -0.056
1629    -0.056
1630    -0.056
1631    -0.056
1632    -0.056
1633    -0.056
1634    -0.056
1635    -0.056
1636    -0.056
1637    -0.056
1638    -0.056
1639    -0.056
1640    -0.056
1641    -0.056
1642    -0.056
1643    -0.056
1644    -0.056
1645    -0.056
1646    -0.056
1647    -0.056
1648    -0.056
1649    -0.056
1650    -0.056
1651    -0.056
1652    -0.056
1653    -0.056
1654    -0.056
1655    -0.056
1656    -0.056
1657    -0.056
1658    -0.056
1659    -0.056
1660    -0.056
1661    -0.056
1662    -0.056
1663    -0.056
1664    -0.056
1665    -0.056
1666    -0.056
1667    -0.056
1668    -0.056
1669    -0.056
1670    -0.056
1671    -0.056
1672    -0.056
1673    -0.056
1674    -0.056
1675    -0.056
1676    -0.056
1677    -0.056
1678    -0.056
1679    -0.056
1680    -0.056
1681    -0.056
1682    -0.056
1683    -0.056
1684    -0.056
1685    -0.056
1686    -0.056
1687    -0.056
1688    -0.056
1689    -0.056
1690    -0.056
1691    -0.056
1692    -0.056
1693    -0.056
1694    -0.056
1695    -0.056
1696    -0.056
1697    -0.056
1698    -0.056
1699    -0.056
1700    -0.056
1701    -0.056
1702    -0.056
1703    -0.056
1704    -0.056
1705    -0.056
1706    -0.056
1707    -0.056
1708    -0.056
1709    -0.056
1710    -0.056
1711    -0.056
1712    -0.056
1713    -0.056
1714    -0.056
1715    -0.056
1716    -0.056
1717    -0.056
1718    -0.056
1719    -0.056
1720    -0.056
1721    -0.056
1722    -0.056
1723    -0.056
1724    -0.056
1725    -0.056
1726    -0.056
1727    -0.056
1728    -0.056
1729    -0.056
1730    -0.056
1731    -0.056
1732    -0.056
1733    -0.056
1734    -0.056
1735    -0.056
1736    -0.056
1737    -0.056
1738    -0.056
1739    -0.056
1740    -0.056
1741    -0.056
1742    -0.056
1743    -0.056
1744    -0.056
1745    -0.056
1746    -0.056
1747    -0.056
1748    -0.056
