Year     Value
 900     0.131
 901     0.137
 902     0.130
 903     0.123
 904     0.117
 905     0.110
 906     0.103
 907     0.098
 908     0.091
 909     0.084
 910     0.089
 911     0.095
 912     0.100
 913     0.103
 914     0.108
 915     0.114
 916     0.119
 917     0.124
 918     0.130
 919     0.135
 920     0.138
 921     0.144
 922     0.149
 923     0.154
 924     0.172
 925     0.189
 926     0.207
 927     0.210
 928     0.214
 929     0.217
 930     0.221
 931     0.224
 932     0.228
 933     0.231
 934     0.235
 935     0.238
 936     0.242
 937     0.245
 938     0.249
 939     0.254
 940     0.257
 941     0.261
 942     0.264
 943     0.270
 944     0.273
 945     0.277
 946     0.277
 947     0.277
 948     0.275
 949     0.273
 950     0.270
 951     0.268
 952     0.266
 953     0.264
 954     0.261
 955     0.259
 956     0.262
 957     0.266
 958     0.271
 959     0.275
 960     0.278
 961     0.282
 962     0.287
 963     0.291
 964     0.294
 965     0.287
 966     0.278
 967     0.271
 968     0.262
 969     0.256
 970     0.247
 971     0.240
 972     0.231
 973     0.224
 974     0.219
 975     0.212
 976     0.207
 977     0.201
 978     0.194
 979     0.189
 980     0.184
 981     0.177
 982     0.172
 983     0.166
 984     0.159
 985     0.154
 986     0.152
 987     0.149
 988     0.147
 989     0.144
 990     0.142
 991     0.138
 992     0.137
 993     0.133
 994     0.131
 995     0.128
 996     0.124
 997     0.123
 998     0.119
 999     0.116
1000     0.114
1001     0.110
1002     0.107
1003     0.105
1004     0.102
1005     0.089
1006     0.075
1007     0.063
1008     0.049
1009     0.037
1010     0.023
1011     0.011
1012    -0.003
1013    -0.009
1014    -0.014
1015    -0.019
1016    -0.024
1017    -0.031
1018    -0.037
1019    -0.042
1020    -0.047
1021    -0.052
1022    -0.058
1023    -0.063
1024    -0.068
1025    -0.075
1026    -0.080
1027    -0.086
1028    -0.091
1029    -0.098
1030    -0.107
1031    -0.114
1032    -0.121
1033    -0.128
1034    -0.136
1035    -0.143
1036    -0.147
1037    -0.150
1038    -0.156
1039    -0.159
1040    -0.163
1041    -0.166
1042    -0.171
1043    -0.175
1044    -0.178
1045    -0.180
1046    -0.182
1047    -0.184
1048    -0.185
1049    -0.187
1050    -0.189
1051    -0.191
1052    -0.192
1053    -0.194
1054    -0.196
1055    -0.196
1056    -0.196
1057    -0.196
1058    -0.196
1059    -0.196
1060    -0.196
1061    -0.196
1062    -0.196
1063    -0.178
1064    -0.161
1065    -0.143
1066    -0.126
1067    -0.108
1068    -0.091
1069    -0.073
1070    -0.056
1071    -0.038
1072    -0.021
1073    -0.003
1074     0.014
1075     0.032
1076     0.042
1077     0.054
1078     0.065
1079     0.075
1080     0.086
1081     0.098
1082     0.108
1083     0.119
1084     0.124
1085     0.131
1086     0.137
1087     0.142
1088     0.149
1089     0.154
1090     0.159
1091     0.166
1092     0.172
1093     0.177
1094     0.182
1095     0.187
1096     0.194
1097     0.200
1098     0.205
1099     0.210
1100     0.215
1101     0.221
1102     0.226
1103     0.231
1104     0.238
1105     0.243
1106     0.249
1107     0.254
1108     0.259
1109     0.273
1110     0.289
1111     0.303
1112     0.317
1113     0.333
1114     0.347
1115     0.348
1116     0.350
1117     0.352
1118     0.354
1119     0.355
1120     0.357
1121     0.359
1122     0.361
1123     0.362
1124     0.364
1125     0.366
1126     0.369
1127     0.371
1128     0.373
1129     0.375
1130     0.378
1131     0.380
1132     0.382
1133     0.390
1134     0.399
1135     0.403
1136     0.408
1137     0.411
1138     0.417
1139     0.417
1140     0.417
1141     0.417
1142     0.417
1143     0.417
1144     0.417
1145     0.417
1146     0.417
1147     0.413
1148     0.410
1149     0.404
1150     0.401
1151     0.397
1152     0.394
1153     0.389
1154     0.385
1155     0.382
1156     0.373
1157     0.364
1158     0.355
1159     0.347
1160     0.338
1161     0.329
1162     0.333
1163     0.336
1164     0.340
1165     0.343
1166     0.347
1167     0.340
1168     0.334
1169     0.327
1170     0.320
1171     0.313
1172     0.306
1173     0.301
1174     0.294
1175     0.298
1176     0.299
1177     0.303
1178     0.306
1179     0.308
1180     0.312
1181     0.312
1182     0.312
1183     0.312
1184     0.312
1185     0.312
1186     0.312
1187     0.312
1188     0.312
1189     0.312
1190     0.312
1191     0.312
1192     0.320
1193     0.329
1194     0.338
1195     0.347
1196     0.355
1197     0.364
1198     0.368
1199     0.369
1200     0.373
1201     0.376
1202     0.378
1203     0.382
1204     0.380
1205     0.378
1206     0.376
1207     0.375
1208     0.373
1209     0.371
1210     0.369
1211     0.368
1212     0.366
1213     0.364
1214     0.362
1215     0.362
1216     0.361
1217     0.361
1218     0.359
1219     0.359
1220     0.357
1221     0.357
1222     0.355
1223     0.355
1224     0.354
1225     0.354
1226     0.352
1227     0.352
1228     0.350
1229     0.350
1230     0.348
1231     0.348
1232     0.347
1233     0.364
1234     0.350
1235     0.338
1236     0.326
1237     0.312
1238     0.306
1239     0.301
1240     0.296
1241     0.289
1242     0.283
1243     0.278
1244     0.273
1245     0.268
1246     0.262
1247     0.257
1248     0.252
1249     0.245
1250     0.240
1251     0.235
1252     0.229
1253     0.224
1254     0.201
1255     0.180
1256     0.159
1257     0.137
1258     0.131
1259     0.128
1260     0.123
1261     0.119
1262     0.119
1263     0.119
1264     0.119
1265     0.119
1266     0.119
1267     0.119
1268     0.119
1269     0.119
1270     0.119
1271     0.119
1272     0.119
1273     0.119
1274     0.114
1275     0.108
1276     0.103
1277     0.100
1278     0.095
1279     0.089
1280     0.084
1281     0.082
1282     0.079
1283     0.077
1284     0.074
1285     0.072
1286     0.068
1287     0.067
1288     0.065
1289     0.061
1290     0.060
1291     0.056
1292     0.054
1293     0.051
1294     0.049
1295     0.046
1296     0.044
1297     0.040
1298     0.037
1299     0.035
1300     0.032
1301     0.028
1302     0.025
1303     0.021
1304     0.018
1305     0.014
1306     0.011
1307     0.007
1308     0.004
1309     0.000
1310    -0.003
1311    -0.007
1312    -0.009
1313    -0.012
1314    -0.016
1315    -0.017
1316    -0.021
1317    -0.024
1318    -0.026
1319    -0.030
1320    -0.033
1321    -0.035
1322    -0.038
1323    -0.038
1324    -0.038
1325    -0.038
1326    -0.038
1327    -0.038
1328    -0.038
1329    -0.038
1330    -0.038
1331    -0.038
1332    -0.038
1333    -0.038
1334    -0.038
1335    -0.021
1336    -0.003
1337     0.014
1338     0.032
1339     0.049
1340     0.051
1341     0.054
1342     0.056
1343     0.060
1344     0.061
1345     0.065
1346     0.067
1347     0.068
1348     0.070
1349     0.072
1350     0.074
1351     0.075
1352     0.077
1353     0.079
1354     0.081
1355     0.082
1356     0.084
1357     0.089
1358     0.095
1359     0.100
1360     0.105
1361     0.110
1362     0.116
1363     0.121
1364     0.126
1365     0.130
1366     0.135
