Year     Value
 900     0.095
 901     0.088
 902     0.081
 903     0.074
 904     0.063
 905     0.059
 906     0.066
 907     0.070
 908     0.073
 909     0.077
 910     0.080
 911     0.087
 912     0.091
 913     0.094
 914     0.098
 915     0.105
 916     0.119
 917     0.133
 918     0.147
 919     0.161
 920     0.175
 921     0.189
 922     0.203
 923     0.217
 924     0.231
 925     0.238
 926     0.241
 927     0.245
 928     0.245
 929     0.248
 930     0.252
 931     0.255
 932     0.259
 933     0.262
 934     0.266
 935     0.266
 936     0.263
 937     0.259
 938     0.259
 939     0.259
 940     0.259
 941     0.256
 942     0.252
 943     0.252
 944     0.252
 945     0.252
 946     0.255
 947     0.259
 948     0.259
 949     0.262
 950     0.266
 951     0.269
 952     0.273
 953     0.276
 954     0.280
 955     0.280
 956     0.277
 957     0.273
 958     0.270
 959     0.263
 960     0.259
 961     0.256
 962     0.252
 963     0.249
 964     0.245
 965     0.245
 966     0.248
 967     0.252
 968     0.255
 969     0.259
 970     0.262
 971     0.266
 972     0.269
 973     0.273
 974     0.276
 975     0.277
 976     0.266
 977     0.256
 978     0.249
 979     0.242
 980     0.235
 981     0.228
 982     0.217
 983     0.207
 984     0.200
 985     0.196
 986     0.196
 987     0.196
 988     0.196
 989     0.196
 990     0.196
 991     0.196
 992     0.196
 993     0.196
 994     0.196
 995     0.193
 996     0.186
 997     0.182
 998     0.179
 999     0.172
1000     0.165
1001     0.158
1002     0.151
1003     0.147
1004     0.144
1005     0.143
1006     0.150
1007     0.157
1008     0.164
1009     0.171
1010     0.178
1011     0.185
1012     0.189
1013     0.192
1014     0.199
1015     0.196
1016     0.182
1017     0.168
1018     0.154
1019     0.140
1020     0.126
1021     0.109
1022     0.091
1023     0.077
1024     0.063
1025     0.056
1026     0.053
1027     0.049
1028     0.046
1029     0.042
1030     0.042
1031     0.039
1032     0.035
1033     0.032
1034     0.028
1035     0.025
1036     0.018
1037     0.011
1038     0.004
1039    -0.003
1040    -0.010
1041    -0.017
1042    -0.024
1043    -0.031
1044    -0.038
1045    -0.039
1046    -0.035
1047    -0.032
1048    -0.028
1049    -0.025
1050    -0.021
1051    -0.018
1052    -0.014
1053    -0.011
1054    -0.007
1055    -0.007
1056    -0.007
1057    -0.007
1058    -0.004
1059    -0.000
1060    -0.000
1061    -0.000
1062    -0.000
1063    -0.000
1064    -0.000
1065    -0.000
1066    -0.000
1067    -0.000
1068    -0.000
1069    -0.000
1070    -0.000
1071    -0.000
1072    -0.000
1073    -0.003
1074    -0.007
1075    -0.004
1076     0.003
1077     0.010
1078     0.017
1079     0.024
1080     0.031
1081     0.042
1082     0.052
1083     0.059
1084     0.066
1085     0.073
1086     0.080
1087     0.087
1088     0.094
1089     0.105
1090     0.115
1091     0.122
1092     0.129
1093     0.136
1094     0.147
1095     0.154
1096     0.157
1097     0.164
1098     0.168
1099     0.171
1100     0.178
1101     0.182
1102     0.185
1103     0.192
1104     0.196
1105     0.199
1106     0.203
1107     0.206
1108     0.210
1109     0.210
1110     0.213
1111     0.217
1112     0.220
1113     0.224
1114     0.224
1115     0.224
1116     0.221
1117     0.214
1118     0.207
1119     0.203
1120     0.200
1121     0.193
1122     0.186
1123     0.182
1124     0.179
1125     0.175
1126     0.175
1127     0.175
1128     0.175
1129     0.175
1130     0.178
1131     0.182
1132     0.182
1133     0.182
1134     0.182
1135     0.192
1136     0.210
1137     0.227
1138     0.248
1139     0.266
1140     0.283
1141     0.304
1142     0.322
1143     0.339
1144     0.360
1145     0.368
1146     0.361
1147     0.354
1148     0.347
1149     0.343
1150     0.340
1151     0.333
1152     0.326
1153     0.319
1154     0.315
1155     0.308
1156     0.294
1157     0.280
1158     0.266
1159     0.252
1160     0.235
1161     0.217
1162     0.203
1163     0.189
1164     0.175
1165     0.171
1166     0.178
1167     0.189
1168     0.199
1169     0.206
1170     0.213
1171     0.220
1172     0.227
1173     0.234
1174     0.241
1175     0.245
1176     0.245
1177     0.245
1178     0.248
1179     0.252
1180     0.252
1181     0.252
1182     0.252
1183     0.252
1184     0.255
1185     0.256
1186     0.252
1187     0.249
1188     0.245
1189     0.242
1190     0.238
1191     0.235
1192     0.231
1193     0.228
1194     0.224
1195     0.227
1196     0.234
1197     0.241
1198     0.248
1199     0.255
1200     0.262
1201     0.269
1202     0.280
1203     0.290
1204     0.297
1205     0.298
1206     0.294
1207     0.291
1208     0.284
1209     0.280
1210     0.277
1211     0.270
1212     0.266
1213     0.263
1214     0.259
1215     0.252
1216     0.242
1217     0.235
1218     0.228
1219     0.221
1220     0.214
1221     0.207
1222     0.200
1223     0.193
1224     0.186
1225     0.185
1226     0.192
1227     0.196
1228     0.199
1229     0.206
1230     0.213
1231     0.220
1232     0.227
1233     0.234
1234     0.238
1235     0.238
1236     0.238
1237     0.238
1238     0.238
1239     0.238
1240     0.238
1241     0.238
1242     0.238
1243     0.238
1244     0.238
1245     0.241
1246     0.245
1247     0.248
1248     0.252
1249     0.255
1250     0.259
1251     0.259
1252     0.262
1253     0.266
1254     0.269
1255     0.270
1256     0.263
1257     0.259
1258     0.256
1259     0.249
1260     0.245
1261     0.242
1262     0.235
1263     0.228
1264     0.224
1265     0.224
1266     0.224
1267     0.224
1268     0.224
1269     0.224
1270     0.224
1271     0.227
1272     0.231
1273     0.231
1274     0.231
1275     0.224
1276     0.214
1277     0.203
1278     0.189
1279     0.179
1280     0.168
1281     0.154
1282     0.140
1283     0.130
1284     0.119
1285     0.109
1286     0.102
1287     0.098
1288     0.095
1289     0.088
1290     0.081
1291     0.074
1292     0.067
1293     0.063
1294     0.060
1295     0.049
1296     0.032
1297     0.014
1298     0.000
1299    -0.014
1300    -0.028
1301    -0.042
1302    -0.056
1303    -0.070
1304    -0.084
1305    -0.091
1306    -0.091
1307    -0.088
1308    -0.084
1309    -0.084
1310    -0.081
1311    -0.077
1312    -0.077
1313    -0.074
1314    -0.070
1315    -0.070
1316    -0.070
1317    -0.070
1318    -0.070
1319    -0.073
1320    -0.077
1321    -0.077
1322    -0.077
1323    -0.077
1324    -0.077
1325    -0.080
1326    -0.091
1327    -0.101
1328    -0.108
1329    -0.115
1330    -0.126
1331    -0.136
1332    -0.143
1333    -0.150
1334    -0.161
1335    -0.161
1336    -0.147
1337    -0.137
1338    -0.126
1339    -0.112
1340    -0.102
1341    -0.091
1342    -0.077
1343    -0.063
1344    -0.053
1345    -0.042
1346    -0.032
1347    -0.021
1348    -0.007
1349     0.003
1350     0.014
1351     0.024
1352     0.035
1353     0.049
1354     0.059
1355     0.066
1356     0.070
1357     0.073
1358     0.077
1359     0.080
1360     0.084
1361     0.084
1362     0.087
1363     0.091
1364     0.094
1365     0.105
1366     0.119
1367     0.133
1368     0.147
1369     0.161
1370     0.175
1371     0.189
1372     0.203
1373     0.217
1374     0.231
1375     0.238
1376     0.235
1377     0.228
1378     0.221
1379     0.214
1380     0.207
1381     0.200
1382     0.193
1383     0.189
1384     0.186
1385     0.179
1386     0.172
1387     0.161
1388     0.151
1389     0.144
1390     0.137
1391     0.130
1392     0.123
1393     0.116
1394     0.109
1395     0.102
1396     0.095
1397     0.084
1398     0.074
1399     0.067
1400     0.060
1401     0.053
1402     0.046
1403     0.039
1404     0.032
1405     0.025
1406     0.018
1407     0.014
1408     0.011
1409     0.004
1410    -0.000
1411    -0.003
1412    -0.010
1413    -0.017
1414    -0.021
1415    -0.024
1416    -0.028
1417    -0.028
1418    -0.031
1419    -0.035
1420    -0.035
1421    -0.038
1422    -0.042
1423    -0.042
1424    -0.045
1425    -0.049
1426    -0.052
1427    -0.056
1428    -0.059
1429    -0.063
1430    -0.066
1431    -0.070
1432    -0.073
1433    -0.077
1434    -0.080
1435    -0.087
1436    -0.098
1437    -0.108
1438    -0.119
1439    -0.133
1440    -0.143
1441    -0.154
1442    -0.164
1443    -0.175
1444    -0.189
1445    -0.196
1446    -0.199
1447    -0.203
1448    -0.206
1449    -0.210
1450    -0.213
1451    -0.220
1452    -0.224
1453    -0.227
1454    -0.231
1455    -0.231
1456    -0.228
1457    -0.224
1458    -0.221
1459    -0.217
1460    -0.217
1461    -0.214
1462    -0.210
1463    -0.207
1464    -0.203
1465    -0.203
1466    -0.203
1467    -0.203
1468    -0.203
1469    -0.203
1470    -0.203
1471    -0.203
1472    -0.203
1473    -0.203
1474    -0.203
1475    -0.203
1476    -0.203
1477    -0.206
1478    -0.210
1479    -0.213
1480    -0.217
1481    -0.217
1482    -0.220
1483    -0.224
1484    -0.224
1485    -0.227
1486    -0.231
1487    -0.231
1488    -0.234
1489    -0.238
1490    -0.238
1491    -0.241
1492    -0.245
1493    -0.245
1494    -0.248
1495    -0.249
1496    -0.242
1497    -0.238
1498    -0.235
1499    -0.228
1500    -0.224
1501    -0.221
1502    -0.214
1503    -0.210
1504    -0.207
1505    -0.200
1506    -0.196
1507    -0.193
1508    -0.189
1509    -0.186
1510    -0.182
1511    -0.182
1512    -0.179
1513    -0.175
1514    -0.172
1515    -0.171
1516    -0.178
1517    -0.182
1518    -0.185
1519    -0.192
1520    -0.196
1521    -0.199
1522    -0.206
1523    -0.210
1524    -0.213
1525    -0.217
1526    -0.220
1527    -0.224
1528    -0.224
1529    -0.227
1530    -0.231
1531    -0.231
1532    -0.231
1533    -0.234
1534    -0.238
1535    -0.235
1536    -0.228
1537    -0.221
1538    -0.214
1539    -0.207
1540    -0.200
1541    -0.193
1542    -0.186
1543    -0.182
1544    -0.179
1545    -0.172
1546    -0.165
1547    -0.158
1548    -0.151
1549    -0.144
1550    -0.137
1551    -0.130
1552    -0.123
1553    -0.116
1554    -0.109
1555    -0.102
1556    -0.095
1557    -0.088
1558    -0.081
1559    -0.074
1560    -0.067
1561    -0.060
1562    -0.053
1563    -0.046
1564    -0.039
1565    -0.035
1566    -0.032
1567    -0.025
1568    -0.021
1569    -0.018
1570    -0.011
1571    -0.007
1572    -0.004
1573     0.003
1574     0.007
1575     0.010
1576     0.017
1577     0.021
1578     0.024
1579     0.028
1580     0.031
1581     0.038
1582     0.042
