Year     Value
1000     0.058
1001     0.056
1002     0.054
1003     0.053
1004     0.052
1005     0.047
1006     0.040
1007     0.033
1008     0.027
1009     0.022
1010     0.016
1011     0.009
1012     0.002
1013    -0.000
1014    -0.003
1015    -0.006
1016    -0.010
1017    -0.013
1018    -0.016
1019    -0.019
1020    -0.022
1021    -0.024
1022    -0.027
1023    -0.031
1024    -0.034
1025    -0.038
1026    -0.040
1027    -0.044
1028    -0.046
1029    -0.049
1030    -0.053
1031    -0.056
1032    -0.060
1033    -0.063
1034    -0.066
1035    -0.069
1036    -0.070
1037    -0.073
1038    -0.074
1039    -0.076
1040    -0.078
1041    -0.080
1042    -0.081
1043    -0.083
1044    -0.085
1045    -0.086
1046    -0.087
1047    -0.088
1048    -0.089
1049    -0.090
1050    -0.091
1051    -0.094
1052    -0.095
1053    -0.095
1054    -0.096
1055    -0.095
1056    -0.095
1057    -0.095
1058    -0.095
1059    -0.095
1060    -0.094
1061    -0.094
1062    -0.093
1063    -0.084
1064    -0.076
1065    -0.068
1066    -0.059
1067    -0.051
1068    -0.043
1069    -0.035
1070    -0.026
1071    -0.019
1072    -0.011
1073    -0.001
1074     0.006
1075     0.015
1076     0.020
1077     0.025
1078     0.031
1079     0.038
1080     0.043
1081     0.049
1082     0.054
1083     0.060
1084     0.062
1085     0.064
1086     0.067
1087     0.069
1088     0.071
1089     0.073
1090     0.074
1091     0.077
1092     0.079
1093     0.082
1094     0.085
1095     0.088
1096     0.091
1097     0.093
1098     0.096
1099     0.099
1100     0.102
1101     0.105
1102     0.108
1103     0.110
1104     0.113
1105     0.116
1106     0.120
1107     0.122
1108     0.125
1109     0.132
1110     0.141
1111     0.147
1112     0.155
1113     0.163
1114     0.170
1115     0.170
1116     0.171
1117     0.171
1118     0.171
1119     0.172
1120     0.172
1121     0.173
1122     0.173
1123     0.173
1124     0.174
1125     0.175
1126     0.176
1127     0.176
1128     0.178
1129     0.179
1130     0.180
1131     0.182
1132     0.183
1133     0.186
1134     0.190
1135     0.192
1136     0.193
1137     0.195
1138     0.196
1139     0.197
1140     0.197
1141     0.198
1142     0.198
1143     0.199
1144     0.199
1145     0.200
1146     0.200
1147     0.199
1148     0.197
1149     0.195
1150     0.194
1151     0.193
1152     0.191
1153     0.189
1154     0.188
1155     0.186
1156     0.179
1157     0.176
1158     0.170
1159     0.165
1160     0.161
1161     0.155
1162     0.157
1163     0.159
1164     0.163
1165     0.165
1166     0.167
1167     0.164
1168     0.162
1169     0.158
1170     0.155
1171     0.152
1172     0.149
1173     0.146
1174     0.144
1175     0.146
1176     0.146
1177     0.147
1178     0.149
1179     0.150
1180     0.151
1181     0.151
1182     0.151
1183     0.151
1184     0.151
1185     0.151
1186     0.151
1187     0.151
1188     0.151
1189     0.151
1190     0.151
1191     0.151
1192     0.154
1193     0.157
1194     0.162
1195     0.165
1196     0.168
1197     0.170
1198     0.172
1199     0.174
1200     0.176
1201     0.178
1202     0.179
1203     0.182
1204     0.180
1205     0.179
1206     0.178
1207     0.177
1208     0.176
1209     0.175
1210     0.173
1211     0.172
1212     0.171
1213     0.170
1214     0.170
1215     0.170
1216     0.170
1217     0.170
1218     0.170
1219     0.170
1220     0.170
1221     0.170
1222     0.170
1223     0.170
1224     0.170
1225     0.170
1226     0.170
1227     0.170
1228     0.170
1229     0.170
1230     0.170
1231     0.170
1232     0.170
1233     0.174
1234     0.169
1235     0.162
1236     0.154
1237     0.147
1238     0.146
1239     0.143
1240     0.140
1241     0.137
1242     0.134
1243     0.132
1244     0.129
1245     0.126
1246     0.124
1247     0.122
1248     0.120
1249     0.116
1250     0.113
1251     0.111
1252     0.108
1253     0.106
1254     0.095
1255     0.085
1256     0.073
1257     0.064
1258     0.062
1259     0.060
1260     0.058
1261     0.056
1262     0.057
1263     0.057
1264     0.057
1265     0.058
1266     0.058
1267     0.058
1268     0.059
1269     0.059
1270     0.059
1271     0.060
1272     0.060
1273     0.060
1274     0.058
1275     0.056
