Year     Value
1001     0.172
1002     0.169
1003     0.166
1004     0.163
1005     0.150
1006     0.137
1007     0.124
1008     0.111
1009     0.098
1010     0.084
1011     0.071
1012     0.058
1013     0.053
1014     0.047
1015     0.042
1016     0.036
1017     0.031
1018     0.025
1019     0.020
1020     0.014
1021     0.009
1022     0.003
1023    -0.002
1024    -0.007
1025    -0.013
1026    -0.018
1027    -0.024
1028    -0.029
1029    -0.037
1030    -0.044
1031    -0.052
1032    -0.059
1033    -0.067
1034    -0.074
1035    -0.082
1036    -0.086
1037    -0.090
1038    -0.093
1039    -0.097
1040    -0.101
1041    -0.105
1042    -0.109
1043    -0.113
1044    -0.117
1045    -0.119
1046    -0.120
1047    -0.122
1048    -0.124
1049    -0.126
1050    -0.127
1051    -0.129
1052    -0.131
1053    -0.133
1054    -0.134
1055    -0.134
1056    -0.134
1057    -0.134
1058    -0.134
1059    -0.134
1060    -0.134
1061    -0.134
1062    -0.134
1063    -0.117
1064    -0.099
1065    -0.082
1066    -0.064
1067    -0.047
1068    -0.029
1069    -0.012
1070     0.006
1071     0.023
1072     0.041
1073     0.058
1074     0.076
1075     0.093
1076     0.104
1077     0.115
1078     0.126
1079     0.137
1080     0.148
1081     0.159
1082     0.170
1083     0.181
1084     0.187
1085     0.192
1086     0.198
1087     0.204
1088     0.210
1089     0.216
1090     0.222
1091     0.227
1092     0.233
1093     0.239
1094     0.244
1095     0.250
1096     0.255
1097     0.261
1098     0.266
1099     0.271
1100     0.277
1101     0.282
1102     0.288
1103     0.293
1104     0.299
1105     0.304
1106     0.310
1107     0.315
1108     0.321
1109     0.335
1110     0.350
1111     0.364
1112     0.379
1113     0.394
1114     0.408
1115     0.410
1116     0.412
1117     0.413
1118     0.415
1119     0.417
1120     0.419
1121     0.420
1122     0.422
1123     0.424
1124     0.426
1125     0.428
1126     0.430
1127     0.432
1128     0.434
1129     0.437
1130     0.439
1131     0.441
1132     0.443
1133     0.452
1134     0.461
1135     0.465
1136     0.469
1137     0.474
1138     0.478
1139     0.478
1140     0.478
1141     0.478
1142     0.478
1143     0.478
1144     0.478
1145     0.478
1146     0.478
1147     0.474
1148     0.470
1149     0.467
1150     0.463
1151     0.459
1152     0.455
1153     0.451
1154     0.447
1155     0.443
1156     0.434
1157     0.426
1158     0.417
1159     0.408
1160     0.399
1161     0.391
1162     0.394
1163     0.398
1164     0.401
1165     0.405
1166     0.408
1167     0.402
1168     0.395
1169     0.388
1170     0.382
1171     0.375
1172     0.369
1173     0.362
1174     0.356
1175     0.359
1176     0.362
1177     0.364
1178     0.367
1179     0.370
1180     0.373
1181     0.373
1182     0.373
1183     0.373
1184     0.373
1185     0.373
1186     0.373
1187     0.373
1188     0.373
1189     0.373
1190     0.373
1191     0.373
1192     0.382
1193     0.391
1194     0.399
1195     0.408
1196     0.417
1197     0.426
1198     0.429
1199     0.432
1200     0.434
1201     0.437
1202     0.440
1203     0.443
1204     0.441
1205     0.440
1206     0.438
1207     0.436
1208     0.434
1209     0.433
1210     0.431
1211     0.429
1212     0.427
1213     0.426
1214     0.425
1215     0.424
1216     0.423
1217     0.422
1218     0.421
1219     0.420
1220     0.419
1221     0.418
1222     0.417
1223     0.416
1224     0.416
1225     0.415
1226     0.414
1227     0.413
1228     0.412
1229     0.411
1230     0.410
1231     0.409
1232     0.408
1233     0.426
1234     0.413
1235     0.399
1236     0.386
1237     0.373
1238     0.368
1239     0.362
1240     0.357
1241     0.351
1242     0.346
1243     0.340
1244     0.335
1245     0.329
1246     0.324
1247     0.318
1248     0.313
1249     0.308
1250     0.302
1251     0.297
1252     0.291
1253     0.286
1254     0.264
1255     0.242
1256     0.220
1257     0.198
1258     0.194
1259     0.189
1260     0.185
1261     0.181
1262     0.181
1263     0.181
1264     0.181
1265     0.181
1266     0.181
1267     0.181
1268     0.181
1269     0.181
1270     0.181
1271     0.181
1272     0.181
1273     0.181
1274     0.176
1275     0.171
1276     0.166
1277     0.161
1278     0.156
1279     0.151
1280     0.146
1281     0.143
1282     0.141
1283     0.138
1284     0.136
1285     0.133
1286     0.131
1287     0.128
