Year     Value
1000     0.096
1001     0.093
1002     0.091
1003     0.089
1004     0.087
1005     0.079
1006     0.066
1007     0.056
1008     0.045
1009     0.037
1010     0.026
1011     0.016
1012     0.003
1013    -0.000
1014    -0.005
1015    -0.011
1016    -0.016
1017    -0.021
1018    -0.026
1019    -0.032
1020    -0.037
1021    -0.040
1022    -0.046
1023    -0.051
1024    -0.056
1025    -0.063
1026    -0.067
1027    -0.074
1028    -0.077
1029    -0.082
1030    -0.088
1031    -0.093
1032    -0.100
1033    -0.105
1034    -0.110
1035    -0.116
1036    -0.117
1037    -0.121
1038    -0.123
1039    -0.126
1040    -0.130
1041    -0.133
1042    -0.135
1043    -0.138
1044    -0.142
1045    -0.144
1046    -0.145
1047    -0.147
1048    -0.149
1049    -0.151
1050    -0.152
1051    -0.156
1052    -0.158
1053    -0.158
1054    -0.159
1055    -0.158
1056    -0.158
1057    -0.158
1058    -0.158
1059    -0.158
1060    -0.156
1061    -0.156
1062    -0.154
1063    -0.140
1064    -0.126
1065    -0.114
1066    -0.098
1067    -0.084
1068    -0.072
1069    -0.058
1070    -0.044
1071    -0.032
1072    -0.018
1073    -0.002
1074     0.010
1075     0.024
1076     0.033
1077     0.042
1078     0.052
1079     0.063
1080     0.072
1081     0.082
1082     0.091
1083     0.100
1084     0.103
1085     0.107
1086     0.112
1087     0.115
1088     0.119
1089     0.122
1090     0.124
1091     0.128
1092     0.131
1093     0.136
1094     0.142
1095     0.147
1096     0.152
1097     0.156
1098     0.161
1099     0.164
1100     0.170
1101     0.175
1102     0.180
1103     0.184
1104     0.189
1105     0.194
1106     0.199
1107     0.203
1108     0.208
1109     0.220
1110     0.234
1111     0.245
1112     0.259
1113     0.271
1114     0.283
1115     0.283
1116     0.285
1117     0.285
1118     0.285
1119     0.287
1120     0.287
1121     0.289
1122     0.289
1123     0.289
1124     0.290
1125     0.292
1126     0.294
1127     0.294
1128     0.297
1129     0.299
1130     0.301
1131     0.303
1132     0.304
1133     0.310
1134     0.317
1135     0.320
1136     0.322
1137     0.325
1138     0.327
1139     0.329
1140     0.329
1141     0.331
1142     0.331
1143     0.332
1144     0.332
1145     0.334
1146     0.334
1147     0.332
1148     0.329
1149     0.325
1150     0.324
1151     0.322
1152     0.318
1153     0.315
1154     0.313
1155     0.310
1156     0.299
1157     0.294
1158     0.283
1159     0.275
1160     0.268
1161     0.259
1162     0.262
1163     0.266
1164     0.271
1165     0.275
1166     0.278
1167     0.273
1168     0.269
1169     0.264
1170     0.259
1171     0.254
1172     0.248
1173     0.243
1174     0.240
1175     0.243
1176     0.243
1177     0.245
1178     0.248
1179     0.250
1180     0.252
1181     0.252
1182     0.252
1183     0.252
1184     0.252
1185     0.252
1186     0.252
1187     0.252
1188     0.252
1189     0.252
1190     0.252
1191     0.252
1192     0.257
1193     0.262
1194     0.269
1195     0.275
1196     0.280
1197     0.283
1198     0.287
1199     0.290
1200     0.294
1201     0.297
1202     0.299
1203     0.303
1204     0.301
1205     0.299
1206     0.297
1207     0.296
1208     0.294
1209     0.292
1210     0.289
1211     0.287
1212     0.285
1213     0.283
1214     0.283
1215     0.283
1216     0.283
1217     0.283
1218     0.283
1219     0.283
1220     0.283
1221     0.283
1222     0.283
1223     0.283
1224     0.283
1225     0.283
1226     0.283
1227     0.283
1228     0.283
1229     0.283
1230     0.283
1231     0.283
1232     0.283
1233     0.290
1234     0.282
1235     0.269
1236     0.257
1237     0.245
1238     0.243
1239     0.238
1240     0.233
1241     0.229
1242     0.224
1243     0.220
1244     0.215
1245     0.210
1246     0.206
1247     0.203
1248     0.199
1249     0.194
1250     0.189
1251     0.185
