Year     Value
1500    -0.131
1501    -0.131
1502    -0.131
1503    -0.131
1504    -0.140
1505    -0.132
1506    -0.131
1507    -0.131
1508    -0.131
1509    -0.131
1510    -0.131
1511    -0.131
1512    -0.131
1513    -0.140
1514    -0.141
1515    -0.150
1516    -0.151
1517    -0.160
1518    -0.161
1519    -0.161
1520    -0.170
1521    -0.171
1522    -0.171
1523    -0.171
1524    -0.171
1525    -0.180
1526    -0.181
1527    -0.181
1528    -0.190
1529    -0.191
1530    -0.200
1531    -0.201
1532    -0.201
1533    -0.210
1534    -0.211
1535    -0.211
1536    -0.220
1537    -0.221
1538    -0.221
1539    -0.221
1540    -0.231
1541    -0.232
1542    -0.222
1543    -0.221
1544    -0.221
1545    -0.221
1546    -0.221
1547    -0.212
1548    -0.211
1549    -0.211
1550    -0.211
1551    -0.211
1552    -0.211
1553    -0.211
1554    -0.211
1555    -0.211
1556    -0.211
1557    -0.211
1558    -0.211
1559    -0.211
1560    -0.211
1561    -0.202
1562    -0.201
1563    -0.201
1564    -0.201
1565    -0.192
1566    -0.191
1567    -0.191
1568    -0.182
1569    -0.181
1570    -0.181
1571    -0.172
1572    -0.171
1573    -0.171
1574    -0.162
1575    -0.161
1576    -0.161
1577    -0.152
1578    -0.142
1579    -0.132
1580    -0.122
1581    -0.112
1582    -0.102
1583    -0.101
1584    -0.092
1585    -0.082
1586    -0.072
1587    -0.071
1588    -0.062
1589    -0.061
1590    -0.051
1591    -0.041
1592    -0.041
1593    -0.031
1594    -0.021
1595    -0.011
1596    -0.010
1597    -0.001
1598     0.009
1599     0.019
1600     0.029
1601     0.030
1602     0.039
1603     0.040
1604     0.040
1605     0.040
1606     0.040
1607     0.049
1608     0.050
1609     0.050
1610     0.050
1611     0.059
1612     0.060
1613     0.060
1614     0.069
1615     0.070
1616     0.070
1617     0.079
1618     0.080
1619     0.080
1620     0.080
1621     0.089
1622     0.090
1623     0.090
1624     0.099
1625     0.100
1626     0.100
1627     0.100
1628     0.100
1629     0.100
1630     0.109
1631     0.110
1632     0.101
1633     0.091
1634     0.081
1635     0.071
1636     0.061
1637     0.051
1638     0.040
1639     0.040
1640     0.030
1641     0.030
1642     0.020
1643     0.020
1644     0.010
1645     0.010
1646     0.000
1647    -0.001
1648    -0.010
1649    -0.020
1650    -0.021
1651    -0.030
1652    -0.040
1653    -0.050
1654    -0.060
1655    -0.070
1656    -0.080
1657    -0.090
1658    -0.100
1659    -0.110
1660    -0.111
1661    -0.121
1662    -0.121
1663    -0.121
1664    -0.121
1665    -0.121
1666    -0.121
1667    -0.121
1668    -0.121
1669    -0.131
1670    -0.131
1671    -0.132
1672    -0.141
1673    -0.142
1674    -0.160
1675    -0.171
1676    -0.181
1677    -0.182
1678    -0.182
1679    -0.182
1680    -0.182
1681    -0.182
1682    -0.191
1683    -0.192
1684    -0.192
1685    -0.201
1686    -0.202
1687    -0.202
1688    -0.211
1689    -0.203
1690    -0.193
1691    -0.192
1692    -0.183
1693    -0.182
1694    -0.182
1695    -0.182
1696    -0.173
1697    -0.172
1698    -0.172
1699    -0.163
1700    -0.162
1701    -0.162
1702    -0.162
1703    -0.153
1704    -0.152
1705    -0.152
1706    -0.143
1707    -0.133
1708    -0.132
1709    -0.123
1710    -0.122
1711    -0.112
1712    -0.102
1713    -0.102
1714    -0.092
1715    -0.082
1716    -0.072
1717    -0.071
1718    -0.062
1719    -0.052
1720    -0.042
1721    -0.050
1722    -0.051
1723    -0.051
1724    -0.024
1725    -0.021
1726     0.025
1727     0.029
1728     0.048
1729     0.022
1730     0.093
1731     0.072
1732     0.023
1733     0.001
1734    -0.001
1735     0.027
1736     0.084
1737     0.034
1738     0.020
1739     0.093
1740     0.109
1741     0.119
1742     0.083
1743     0.079
1744     0.089
1745     0.108
1746     0.100
1747     0.109
1748     0.275
1749     0.245
1750     0.240
1751     0.194
1752     0.181
1753     0.152
1754     0.122
1755     0.110
1756     0.100
1757     0.118
1758     0.138
1759     0.149
1760     0.141
1761     0.158
1762     0.141
1763     0.131
1764     0.120
1765     0.101
1766     0.099
1767     0.155
1768     0.206
1769     0.256
1770     0.260
1771     0.251
1772     0.232
1773     0.193
1774     0.181
1775     0.152
1776     0.168
1777     0.197
1778     0.274
1779     0.281
1780     0.235
1781     0.249
1782     0.204
1783     0.182
1784     0.161
1785     0.178
1786     0.263
1787     0.316
1788     0.311
1789     0.311
1790     0.283
1791     0.244
1792     0.231
1793     0.193
1794     0.181
1795     0.143
1796     0.121
1797     0.092
1798     0.071
1799     0.051
1800     0.049
1801     0.086
1802     0.062
1803     0.004
1804    -0.010
1805    -0.011
1806    -0.048
1807    -0.070
1808    -0.081
1809    -0.091
1810    -0.092
1811    -0.092
1812    -0.092
1813    -0.083
1814    -0.082
