Year     Value
 900    -0.243
 901    -0.093
 902    -0.073
 903    -0.023
 904     0.047
 905     0.067
 906     0.007
 907    -0.023
 908     0.127
 909     0.007
 910    -0.143
 911     0.157
 912     0.087
 913     0.187
 914     0.067
 915     0.057
 916    -0.003
 917     0.077
 918     0.127
 919     0.157
 920     0.237
 921     0.047
 922     0.247
 923     0.107
 924     0.207
 925     0.307
 926     0.227
 927     0.247
 928     0.347
 929     0.107
 930     0.227
 931     0.167
 932     0.227
 933     0.217
 934    -0.323
 935    -0.063
 936     0.137
 937     0.217
 938     0.307
 939     0.207
 940     0.477
 941     0.047
 942    -0.103
 943     0.037
 944     0.167
 945     0.287
 946     0.247
 947     0.147
 948     0.287
 949     0.247
 950     0.217
 951     0.297
 952     0.317
 953     0.127
 954     0.097
 955     0.057
 956     0.077
 957    -0.073
 958     0.347
 959     0.287
 960     0.337
 961     0.157
 962     0.357
 963     0.427
 964     0.297
 965     0.247
 966     0.137
 967     0.267
 968     0.267
 969     0.047
 970    -0.093
 971    -0.133
 972     0.237
 973     0.177
 974     0.317
 975     0.167
 976     0.077
 977    -0.073
 978    -0.003
 979     0.007
 980     0.187
 981     0.287
 982     0.207
 983     0.147
 984     0.217
 985    -0.103
 986     0.087
 987     0.107
 988     0.077
 989     0.097
 990    -0.003
 991     0.057
 992    -0.273
 993    -0.173
 994    -0.103
 995     0.037
 996     0.137
 997     0.087
 998     0.037
 999     0.137
1000     0.167
1001     0.017
1002     0.037
1003     0.037
1004     0.037
1005     0.087
1006     0.027
1007    -0.063
1008    -0.253
1009    -0.003
1010     0.167
1011     0.077
1012    -0.123
1013    -0.003
1014     0.087
1015     0.027
1016     0.087
1017    -0.063
1018    -0.043
1019    -0.053
1020    -0.233
1021     0.147
1022     0.007
1023    -0.073
1024    -0.113
1025    -0.043
1026    -0.293
1027    -0.123
1028    -0.063
1029    -0.113
1030    -0.003
1031    -0.053
1032    -0.063
1033    -0.293
1034    -0.293
1035    -0.173
1036    -0.193
1037    -0.313
1038    -0.253
1039    -0.323
1040    -0.153
1041    -0.283
1042    -0.023
1043     0.017
1044    -0.143
1045     0.037
1046    -0.073
1047    -0.013
1048    -0.003
1049     0.057
1050    -0.113
1051     0.127
1052    -0.083
1053    -0.053
1054    -0.123
1055    -0.113
1056    -0.183
1057     0.027
1058    -0.093
1059    -0.033
1060    -0.043
1061    -0.113
1062    -0.083
1063    -0.043
1064    -0.093
1065    -0.353
1066    -0.123
1067    -0.213
1068    -0.113
1069    -0.183
1070     0.027
1071    -0.143
1072     0.097
1073     0.057
1074     0.187
1075    -0.183
1076     0.107
1077     0.027
1078     0.137
1079     0.127
1080     0.257
1081     0.277
1082     0.137
1083     0.117
1084     0.227
1085     0.207
1086     0.287
1087     0.467
1088     0.457
1089     0.137
1090     0.287
1091     0.387
1092     0.157
1093     0.297
1094     0.207
1095     0.107
1096     0.257
1097     0.307
1098     0.057
1099     0.067
1100     0.407
1101     0.057
1102     0.357
1103     0.067
1104     0.187
1105     0.237
1106     0.137
1107     0.097
1108     0.357
1109     0.317
1110     0.247
1111     0.177
1112     0.047
1113     0.077
1114     0.127
1115     0.397
1116     0.237
1117     0.287
1118    -0.053
1119    -0.143
1120    -0.073
1121     0.017
1122     0.247
1123     0.117
1124     0.317
1125     0.337
1126    -0.133
1127     0.387
1128     0.267
1129     0.227
1130     0.107
1131     0.357
1132     0.237
1133     0.227
1134     0.177
1135     0.217
1136     0.097
1137     0.287
1138     0.197
1139     0.057
1140     0.067
1141     0.147
1142    -0.073
1143     0.267
1144     0.267
1145     0.217
1146     0.257
1147     0.217
1148     0.127
1149     0.277
1150     0.097
1151     0.047
1152     0.147
1153     0.037
1154     0.177
1155     0.027
1156     0.147
1157     0.257
1158     0.257
1159     0.237
1160     0.257
1161     0.227
1162     0.167
1163     0.187
1164     0.067
1165     0.147
1166     0.047
1167     0.017
1168    -0.623
1169    -0.373
1170    -0.223
1171     0.097
1172     0.007
1173    -0.103
1174     0.007
1175     0.167
1176     0.157
1177    -1.043
1178    -0.863
1179    -0.443
1180    -0.333
1181    -0.343
1182    -0.053
1183     0.127
1184    -0.083
1185     0.147
1186    -0.073
1187     0.107
1188     0.087
1189     0.047
1190    -0.203
1191    -0.393
1192    -0.213
1193    -0.033
1194    -0.053
1195    -0.203
1196    -0.133
1197    -0.003
1198    -0.093
1199     0.027
1200     0.077
1201     0.257
1202     0.147
1203     0.127
1204     0.207
1205     0.137
1206     0.017
1207     0.297
1208     0.117
1209     0.227
1210     0.257
1211     0.407
1212     0.237
1213    -0.073
1214     0.017
1215     0.057
1216     0.017
1217     0.037
1218     0.127
1219     0.227
1220     0.367
1221     0.127
1222     0.087
1223     0.247
1224     0.437
1225     0.347
1226     0.417
1227     0.267
1228     0.297
1229     0.347
1230     0.457
1231     0.057
1232    -0.503
1233    -0.333
1234    -0.123
1235     0.137
1236     0.237
1237     0.177
1238     0.047
1239     0.227
1240     0.367
1241     0.397
1242     0.137
1243     0.387
1244     0.377
1245     0.197
1246     0.237
1247     0.197
1248     0.187
1249     0.197
1250     0.187
1251     0.387
1252     0.257
1253     0.207
1254     0.037
1255     0.277
1256     0.307
1257     0.077
1258    -1.813
1259    -1.423
1260    -0.633
1261    -0.523
1262    -0.253
1263    -0.153
1264    -0.073
1265     0.007
1266    -0.043
1267     0.057
1268     0.307
1269    -0.333
1270    -0.513
1271    -0.223
1272    -0.183
1273    -0.203
1274    -0.143
1275    -0.043
1276    -0.153
1277     0.167
1278    -0.423
1279    -0.703
1280    -0.323
1281    -0.243
1282    -0.193
1283    -0.113
1284    -0.063
1285     0.017
1286    -0.143
1287    -0.513
1288    -0.623
1289    -0.363
1290    -0.233
1291    -0.093
1292    -0.133
1293    -0.193
1294    -0.223
1295    -0.103
1296    -0.253
1297    -0.373
1298    -0.113
1299    -0.033
1300    -0.403
1301    -0.103
1302     0.087
1303    -0.023
1304     0.067
1305    -0.073
1306    -0.063
1307     0.127
1308     0.027
1309    -0.033
1310    -0.103
1311     0.027
1312     0.207
1313     0.187
1314     0.297
1315     0.027
1316    -0.093
1317     0.067
1318     0.117
1319     0.237
1320     0.157
1321    -0.163
1322    -0.333
1323    -0.073
1324     0.157
1325    -0.183
1326    -0.123
1327    -0.173
1328    -0.183
1329    -0.073
1330    -0.093
1331    -0.193
1332     0.107
1333     0.127
1334     0.247
1335     0.197
1336     0.087
1337     0.057
1338     0.147
1339     0.037
1340     0.217
1341     0.207
1342     0.217
1343     0.167
1344     0.057
1345    -0.113
1346     0.047
1347    -0.043
1348    -0.183
1349    -0.203
1350    -0.233
1351    -0.043
1352    -0.293
1353    -0.333
1354    -0.133
1355    -0.013
1356    -0.133
1357    -0.163
1358    -0.153
1359     0.017
1360    -0.193
1361    -0.073
1362    -0.063
1363    -0.083
1364    -0.103
1365    -0.093
1366    -0.133
1367     0.017
1368    -0.133
1369    -0.143
1370    -0.153
1371     0.057
1372    -0.033
1373    -0.103
1374    -0.023
1375     0.087
1376    -0.203
1377    -0.243
1378    -0.023
1379     0.017
1380    -0.153
1381    -0.063
1382     0.227
1383     0.107
1384     0.167
1385     0.257
1386     0.147
1387    -0.043
1388    -0.173
1389     0.047
1390     0.067
1391    -0.193
1392     0.017
1393     0.087
1394    -0.033
1395     0.107
1396     0.197
1397     0.097
1398     0.157
1399     0.257
1400     0.247
1401     0.147
1402     0.017
1403     0.037
1404     0.317
1405     0.217
1406     0.227
1407     0.117
1408    -0.083
1409    -0.193
1410    -0.123
1411    -0.213
1412     0.117
1413     0.227
1414     0.317
1415    -0.073
1416     0.147
1417    -0.123
1418     0.267
1419     0.187
1420     0.187
1421    -0.013
1422     0.057
1423     0.027
1424    -0.083
1425     0.147
1426     0.137
1427    -0.043
1428    -0.203
1429    -0.033
1430    -0.153
1431    -0.033
1432    -0.053
1433     0.067
1434     0.097
1435     0.187
1436     0.107
1437    -0.113
1438     0.037
1439    -0.043
1440     0.117
1441    -0.103
1442    -0.163
1443    -0.053
1444    -0.043
1445    -0.133
1446    -0.033
1447     0.057
1448    -0.083
1449    -0.103
1450     0.117
1451    -0.053
1452    -0.673
1453    -0.773
1454    -0.493
1455    -0.253
1456    -0.313
1457    -0.243
1458    -0.183
1459    -0.123
1460    -0.513
1461    -0.543
1462    -0.453
1463    -0.363
1464    -0.023
1465    -0.213
1466    -0.093
1467    -0.113
1468    -0.233
1469    -0.113
1470    -0.043
1471    -0.083
1472    -0.183
1473     0.007
1474    -0.063
1475    -0.143
1476    -0.193
1477    -0.093
1478    -0.203
1479    -0.103
1480    -0.263
1481    -0.343
1482    -0.283
1483    -0.343
1484    -0.343
1485    -0.203
1486    -0.163
1487    -0.383
1488    -0.373
1489    -0.323
1490    -0.103
1491    -0.043
1492    -0.143
1493    -0.083
1494    -0.113
1495    -0.013
1496     0.147
1497    -0.083
1498     0.157
1499    -0.003
1500    -0.033
1501     0.037
1502    -0.113
1503    -0.163
1504    -0.153
1505    -0.023
1506    -0.223
1507    -0.123
1508    -0.073
1509    -0.403
1510    -0.143
1511    -0.173
1512    -0.163
