Year     Value
1000     0.178
1001     0.178
1002     0.188
1003     0.188
1004     0.188
1005     0.138
1006     0.148
1007     0.168
1008     0.168
1009     0.168
1010     0.168
1011     0.168
1012     0.158
1013     0.168
1014     0.158
1015     0.158
1016     0.028
1017     0.028
1018     0.098
1019     0.128
1020     0.138
1021     0.138
1022     0.138
1023     0.138
1024     0.138
1025     0.138
1026     0.138
1027    -0.022
1028    -0.002
1029     0.068
1030     0.098
1031     0.108
1032     0.118
1033     0.118
1034     0.118
1035     0.118
1036     0.118
1037     0.118
1038     0.118
1039     0.118
1040     0.118
1041     0.118
1042     0.118
1043     0.118
1044     0.118
1045     0.118
1046     0.118
1047     0.118
1048     0.118
1049     0.108
1050     0.118
1051     0.118
1052     0.108
1053     0.108
1054     0.108
1055     0.108
1056     0.108
1057     0.108
1058     0.108
1059    -0.102
1060    -0.092
1061     0.008
1062     0.058
1063     0.018
1064     0.038
1065     0.068
1066     0.088
1067     0.098
1068     0.108
1069     0.118
1070     0.118
1071     0.128
1072     0.128
1073     0.138
1074     0.138
1075     0.138
1076     0.148
1077     0.148
1078     0.158
1079     0.168
1080     0.158
1081     0.128
1082     0.128
1083     0.148
1084     0.168
1085     0.168
1086     0.168
1087     0.178
1088     0.178
1089     0.178
1090     0.188
1091     0.188
1092     0.188
1093     0.188
1094     0.198
1095     0.198
1096     0.198
1097     0.198
1098     0.108
1099     0.118
1100     0.168
1101     0.188
1102     0.188
1103     0.198
1104     0.208
1105     0.198
1106     0.208
1107     0.208
1108     0.218
1109     0.218
1110     0.218
1111     0.228
1112     0.228
1113     0.228
1114     0.228
1115     0.238
1116     0.238
1117     0.248
1118     0.248
1119     0.248
1120     0.248
1121     0.248
1122     0.248
1123     0.248
1124     0.258
1125     0.258
1126     0.258
1127     0.258
1128     0.258
1129     0.258
1130     0.258
1131     0.258
1132     0.258
1133     0.268
1134     0.268
1135     0.268
1136     0.268
1137     0.268
1138     0.268
1139     0.278
1140     0.268
1141     0.278
1142     0.278
1143     0.278
1144     0.278
1145     0.278
1146     0.278
1147     0.278
1148     0.278
1149     0.278
1150     0.278
1151     0.278
1152     0.278
1153     0.278
1154     0.278
1155     0.278
1156     0.278
1157     0.278
1158     0.268
1159     0.278
1160     0.268
1161     0.268
1162     0.268
1163     0.268
1164     0.268
1165     0.268
1166     0.268
1167     0.218
1168     0.218
1169     0.248
1170     0.258
1171     0.258
1172     0.258
1173     0.258
1174     0.258
1175     0.258
1176    -0.082
1177    -0.052
1178     0.058
1179     0.148
1180     0.198
1181     0.208
1182     0.218
1183     0.228
1184     0.228
1185     0.228
1186     0.238
1187     0.238
1188     0.238
1189     0.238
1190     0.238
1191     0.238
1192     0.238
1193     0.238
1194     0.238
1195     0.118
1196     0.138
1197     0.198
1198     0.218
1199     0.228
1200     0.238
1201     0.248
1202     0.248
1203     0.258
1204     0.258
1205     0.258
1206     0.188
1207     0.198
1208     0.228
1209     0.238
1210     0.248
1211     0.248
1212     0.248
1213     0.248
1214     0.248
1215     0.248
1216     0.248
1217     0.248
1218     0.248
1219     0.248
1220     0.248
1221     0.248
1222     0.248
1223     0.248
1224     0.248
1225     0.248
1226     0.248
1227     0.248
1228     0.208
1229     0.218
1230    -0.022
1231     0.008
1232     0.098
1233     0.168
1234     0.198
1235     0.208
1236     0.208
1237     0.218
1238     0.208
1239     0.218
1240     0.218
1241     0.218
1242     0.218
1243     0.218
1244     0.208
1245     0.208
1246     0.208
1247     0.208
