Year     Value
1000     0.165
1001     0.165
1002     0.195
1003     0.205
1004     0.215
1005     0.215
1006     0.195
1007     0.195
1008     0.205
1009     0.215
1010     0.215
1011     0.215
1012     0.215
1013     0.205
1014     0.205
1015     0.205
1016     0.205
1017     0.135
1018     0.145
1019     0.185
1020     0.205
1021     0.205
1022     0.205
1023     0.215
1024     0.215
1025     0.215
1026     0.215
1027     0.225
1028     0.135
1029     0.145
1030     0.195
1031     0.205
1032     0.205
1033     0.215
1034     0.215
1035     0.205
1036     0.205
1037     0.195
1038     0.195
1039     0.185
1040     0.185
1041     0.175
1042     0.175
1043     0.165
1044     0.155
1045     0.155
1046     0.155
1047     0.145
1048     0.145
1049     0.135
1050     0.125
1051     0.125
1052     0.125
1053     0.115
1054     0.115
1055     0.105
1056     0.105
1057     0.105
1058     0.105
1059     0.105
1060     0.005
1061     0.005
1062     0.065
1063     0.085
1064     0.065
1065     0.075
1066     0.095
1067     0.105
1068     0.105
1069     0.115
1070     0.115
1071     0.115
1072     0.115
1073     0.115
1074     0.115
1075     0.115
1076     0.115
1077     0.125
1078     0.125
1079     0.135
1080     0.135
1081     0.135
1082     0.115
1083     0.125
1084     0.135
1085     0.145
1086     0.155
1087     0.155
1088     0.155
1089     0.165
1090     0.165
1091     0.175
1092     0.175
1093     0.185
1094     0.185
1095     0.195
1096     0.195
1097     0.205
1098     0.205
1099     0.165
1100     0.175
1101     0.195
1102     0.205
1103     0.215
1104     0.215
1105     0.215
1106     0.225
1107     0.225
1108     0.225
1109     0.225
1110     0.235
1111     0.235
1112     0.235
1113     0.235
1114     0.235
1115     0.235
1116     0.235
1117     0.235
1118     0.235
1119     0.235
1120     0.235
1121     0.235
1122     0.225
1123     0.225
1124     0.225
1125     0.225
1126     0.225
1127     0.225
1128     0.235
1129     0.235
1130     0.235
1131     0.245
1132     0.245
1133     0.245
1134     0.255
1135     0.255
1136     0.255
1137     0.255
1138     0.265
1139     0.265
1140     0.265
1141     0.275
1142     0.275
1143     0.275
1144     0.275
1145     0.275
1146     0.275
1147     0.275
1148     0.275
1149     0.275
1150     0.275
1151     0.285
1152     0.285
1153     0.285
1154     0.285
1155     0.285
1156     0.285
1157     0.285
1158     0.295
