Year     Value
1000     0.173
1001     0.193
1002     0.203
1003     0.203
1004     0.123
1005     0.133
1006     0.163
1007     0.173
1008     0.183
1009     0.193
1010     0.193
1011     0.183
1012     0.183
1013     0.183
1014     0.183
1015    -0.127
1016    -0.117
1017     0.013
1018     0.083
1019     0.113
1020     0.123
1021     0.133
1022     0.143
1023     0.143
1024     0.143
1025     0.143
1026    -0.207
1027    -0.207
1028    -0.047
1029     0.033
1030     0.073
1031     0.093
1032     0.113
1033     0.113
1034     0.113
1035     0.113
1036     0.123
1037     0.123
1038     0.123
1039     0.123
1040     0.123
1041     0.123
1042     0.123
1043     0.113
1044     0.113
1045     0.113
1046     0.113
1047     0.113
1048     0.113
1049     0.113
1050     0.113
1051     0.113
1052     0.103
1053     0.103
1054     0.103
1055     0.113
1056     0.113
1057     0.103
1058    -0.397
1059    -0.387
1060    -0.167
1061    -0.057
1062    -0.137
1063    -0.097
1064    -0.017
1065     0.023
1066     0.043
1067     0.063
1068     0.083
1069     0.093
1070     0.113
1071     0.113
1072     0.133
1073     0.133
1074     0.143
1075     0.153
1076     0.163
1077     0.173
1078     0.183
1079     0.183
1080     0.103
1081     0.113
1082     0.143
1083     0.173
1084     0.183
1085     0.193
1086     0.203
1087     0.203
1088     0.213
1089     0.223
1090     0.223
1091     0.223
1092     0.233
1093     0.233
1094     0.233
1095     0.243
1096     0.243
1097     0.043
1098     0.043
1099     0.133
1100     0.183
1101     0.213
1102     0.233
1103     0.243
1104     0.253
1105     0.253
1106     0.263
1107     0.263
1108     0.273
1109     0.283
1110     0.283
1111     0.293
1112     0.293
1113     0.303
1114     0.313
1115     0.313
1116     0.323
1117     0.323
1118     0.323
1119     0.323
1120     0.333
1121     0.333
1122     0.333
1123     0.343
1124     0.343
1125     0.343
1126     0.343
1127     0.343
1128     0.353
1129     0.353
1130     0.353
1131     0.353
1132     0.363
1133     0.363
1134     0.363
1135     0.373
1136     0.373
1137     0.373
1138     0.373
1139     0.383
1140     0.383
1141     0.383
1142     0.383
1143     0.383
1144     0.383
1145     0.393
1146     0.393
1147     0.393
1148     0.393
1149     0.393
1150     0.393
1151     0.393
1152     0.393
1153     0.393
1154     0.393
1155     0.393
1156     0.393
1157     0.393
1158     0.383
1159     0.383
1160     0.383
1161     0.383
1162     0.383
1163     0.383
1164     0.383
1165     0.383
1166     0.273
1167     0.283
1168     0.323
1169     0.353
1170     0.363
1171     0.373
1172     0.373
1173     0.373
1174     0.373
1175    -0.397
1176    -0.387
1177    -0.167
1178     0.043
1179     0.163
1180     0.213
1181     0.253
1182     0.283
1183     0.303
1184     0.313
1185     0.323
1186     0.333
1187     0.333
1188     0.343
1189     0.343
1190     0.353
1191     0.353
1192     0.353
1193     0.353
1194     0.093
1195     0.093
1196     0.213
1197     0.283
1198     0.313
1199     0.333
1200     0.343
1201     0.353
1202     0.363
1203     0.363
1204     0.363
