Year     Value
1000     0.117
1001     0.114
1002     0.112
1003     0.058
1004     0.034
1005     0.058
1006     0.078
1007     0.075
1008     0.074
1009     0.088
1010     0.097
1011     0.102
1012     0.103
1013     0.103
1014     0.101
1015     0.098
1016     0.095
1017     0.091
1018     0.053
1019     0.033
1020     0.045
1021     0.054
1022     0.061
1023     0.064
1024     0.021
1025     0.002
1026     0.022
1027     0.038
1028     0.049
1029     0.055
1030     0.058
1031     0.059
1032     0.059
1033     0.059
1034     0.057
1035     0.056
1036     0.055
1037     0.054
1038     0.053
1039     0.052
1040     0.050
1041     0.050
1042     0.050
1043     0.051
1044     0.052
1045     0.053
1046     0.054
1047     0.055
1048     0.057
1049     0.058
1050     0.060
1051     0.061
1052     0.062
1053     0.062
1054     0.063
1055     0.064
1056     0.065
1057     0.065
1058     0.066
1059     0.066
1060     0.067
1061     0.067
1062     0.036
1063     0.023
1064     0.037
1065     0.048
1066     0.032
1067     0.024
1068     0.037
1069     0.048
1070     0.055
1071     0.060
1072     0.064
1073     0.067
1074     0.070
1075     0.072
1076     0.074
1077     0.076
1078     0.078
1079     0.080
1080     0.082
1081     0.085
1082     0.087
1083     0.070
1084     0.064
1085     0.075
1086     0.083
1087     0.091
1088     0.096
1089     0.100
1090     0.104
1091     0.086
1092     0.079
1093     0.090
1094     0.100
1095     0.107
1096     0.111
1097     0.114
1098     0.117
1099     0.119
1100     0.094
1101     0.086
1102     0.101
1103     0.113
1104     0.122
1105     0.127
1106     0.131
1107     0.133
1108     0.135
1109     0.137
1110     0.138
1111     0.139
1112     0.139
1113     0.139
1114     0.138
1115     0.137
1116     0.115
1117     0.088
1118     0.085
1119     0.090
1120     0.097
1121     0.104
1122     0.108
1123     0.112
1124     0.116
1125     0.119
1126     0.121
1127     0.123
1128     0.125
1129     0.127
1130     0.129
1131     0.132
1132     0.136
1133     0.141
1134     0.146
1135     0.151
1136     0.156
1137     0.162
1138     0.169
1139     0.175
1140     0.180
1141     0.183
1142     0.184
1143     0.184
1144     0.184
1145     0.183
1146     0.182
1147     0.181
1148     0.179
1149     0.177
1150     0.174
1151     0.172
1152     0.168
1153     0.165
1154     0.161
1155     0.158
1156     0.154
1157     0.150
1158     0.145
1159     0.141
1160     0.138
1161     0.136
1162     0.136
1163     0.136
1164     0.137
1165     0.138
1166     0.140
1167     0.143
1168     0.034
1169    -0.016
1170     0.035
1171     0.076
1172     0.106
1173     0.120
1174     0.128
1175     0.133
1176     0.137
1177     0.139
1178     0.140
1179     0.141
1180     0.141
1181     0.141
1182     0.141
1183     0.141
1184     0.140
1185     0.138
1186     0.137
1187     0.136
1188     0.094
1189     0.075
1190     0.068
1191     0.072
1192     0.094
1193     0.108
1194     0.118
1195     0.124
1196     0.093
1197     0.081
1198     0.100
1199     0.116
1200     0.128
1201     0.134
1202     0.137
1203     0.137
1204     0.137
1205     0.137
1206     0.116
1207     0.105
1208     0.114
1209     0.120
1210     0.125
1211     0.126
1212     0.125
1213     0.124
1214     0.121
1215     0.118
1216     0.116
1217     0.114
1218     0.111
1219     0.109
1220     0.107
1221     0.105
1222     0.104
1223     0.104
1224     0.104
1225     0.080
1226     0.069
1227     0.082
1228    -0.147
1229    -0.247
1230    -0.136
1231    -0.047
1232     0.014
1233     0.041
1234     0.055
1235     0.065
1236     0.072
1237     0.077
1238     0.081
1239     0.085
1240     0.088
1241     0.091
1242     0.093
1243     0.095
1244     0.097
1245     0.099
1246     0.101
1247     0.103
1248     0.105
1249     0.106
1250     0.107
1251     0.097
1252     0.092
1253     0.096
1254     0.099
1255     0.101
1256     0.101
1257     0.101
1258    -0.617
1259    -1.059
1260    -0.813
1261    -0.566
1262    -0.362
1263    -0.249
1264    -0.179
1265    -0.131
1266    -0.095
1267    -0.114
1268    -0.114
1269    -0.078
1270    -0.050
1271    -0.029
1272    -0.015
1273    -0.006
1274     0.001
1275     0.006
1276    -0.133
1277    -0.264
1278    -0.242
1279    -0.197
1280    -0.150
1281    -0.116
1282    -0.092
1283    -0.073
1284    -0.058
1285    -0.046
1286    -0.265
1287    -0.414
1288    -0.340
1289    -0.258
1290    -0.187
1291    -0.144
1292    -0.116
1293    -0.096
1294    -0.081
1295    -0.070
1296    -0.060
1297    -0.075
1298    -0.080
1299    -0.066
1300    -0.055
1301    -0.045
1302    -0.038
1303    -0.032
1304    -0.027
1305    -0.022
1306    -0.017
1307    -0.012
1308    -0.008
1309    -0.004
1310     0.000
1311     0.003
1312     0.006
1313     0.008
1314     0.010
1315     0.012
1316     0.014
1317     0.016
1318     0.017
1319     0.019
1320     0.020
1321     0.020
1322     0.019
1323     0.018
1324     0.017
1325    -0.018
1326    -0.035
1327    -0.021
1328    -0.010
1329    -0.002
1330     0.001
1331    -0.017
1332    -0.024
1333    -0.010
1334     0.001
1335     0.010
1336     0.017
1337     0.022
1338     0.027
1339     0.032
1340     0.037
1341     0.024
1342     0.020
1343     0.031
1344     0.040
1345    -0.184
1346    -0.327
1347    -0.247
1348    -0.164
1349    -0.095
1350    -0.055
1351    -0.029
1352    -0.010
1353     0.003
1354     0.014
1355     0.023
1356     0.030
1357     0.035
1358     0.039
1359     0.043
1360     0.047
1361     0.051
1362     0.056
1363     0.062
1364     0.067
1365     0.071
1366     0.075
1367     0.079
1368     0.083
1369     0.088
1370     0.092
1371     0.094
1372     0.095
1373     0.096
1374     0.096
1375     0.096
1376     0.076
1377     0.065
1378     0.072
1379     0.076
1380     0.080
1381     0.080
1382     0.051
1383     0.037
1384     0.049
1385     0.058
1386     0.064
1387     0.066
1388     0.067
1389     0.023
1390     0.003
1391     0.022
1392     0.037
1393     0.047
1394     0.050
1395     0.051
1396     0.051
1397     0.051
1398     0.050
1399     0.049
1400     0.047
1401     0.047
1402     0.047
1403     0.047
1404     0.047
1405     0.046
1406     0.046
