Year     Value
1000     0.202
1001     0.351
1002     0.212
1003     0.189
1004     0.253
1005     0.308
1006     0.349
1007     0.366
1008     0.417
1009     0.382
1010     0.457
1011     0.383
1012     0.303
1013     0.292
1014     0.364
1015     0.033
1016    -0.126
1017     0.047
1018    -0.063
1019     0.163
1020     0.187
1021     0.284
1022     0.176
1023    -0.128
1024     0.070
1025     0.108
1026     0.079
1027    -0.021
1028     0.212
1029    -0.042
1030     0.105
1031     0.040
1032     0.015
1033     0.110
1034     0.229
1035     0.046
1036     0.127
1037     0.217
1038     0.205
1039     0.196
1040     0.222
1041     0.344
1042     0.294
1043     0.129
1044     0.114
1045    -0.039
1046     0.009
1047     0.099
1048    -0.094
1049    -0.079
1050    -0.162
1051     0.035
1052     0.147
1053     0.238
1054     0.042
1055     0.118
1056    -0.086
1057     0.033
1058    -0.156
1059    -0.309
1060    -0.163
1061    -0.192
1062    -0.463
1063    -0.465
1064    -0.220
1065    -0.222
1066    -0.241
1067    -0.100
1068     0.025
1069    -0.044
1070    -0.026
1071     0.076
1072     0.177
1073     0.183
1074     0.297
1075     0.095
1076     0.141
1077     0.392
1078     0.267
1079     0.246
1080     0.051
1081    -0.070
1082     0.157
1083     0.149
1084     0.283
1085     0.279
1086     0.367
1087     0.518
1088     0.464
1089     0.377
1090     0.309
1091     0.290
1092     0.519
1093     0.583
1094     0.378
1095     0.278
1096     0.271
1097     0.066
1098    -0.126
1099    -0.001
1100     0.193
1101     0.240
1102     0.113
1103     0.265
1104     0.213
1105     0.235
1106     0.327
1107     0.384
1108     0.342
1109     0.230
1110     0.142
1111     0.037
1112     0.209
1113     0.196
1114     0.209
1115     0.329
1116     0.259
1117     0.147
1118     0.294
1119     0.378
1120     0.426
1121     0.262
1122     0.221
1123     0.323
1124     0.339
1125     0.342
1126     0.634
1127     0.472
1128     0.384
1129     0.323
1130     0.365
1131     0.454
1132     0.528
1133     0.310
1134     0.351
1135     0.278
1136     0.159
1137     0.280
1138     0.309
1139     0.296
1140     0.338
1141     0.291
1142     0.280
1143     0.460
1144     0.303
1145     0.436
1146     0.328
1147     0.336
1148     0.221
1149     0.325
1150     0.432
1151     0.485
1152     0.481
1153     0.388
1154     0.456
1155     0.301
1156     0.223
1157     0.404
1158     0.307
1159     0.339
1160     0.331
1161     0.162
1162     0.195
1163     0.227
1164     0.249
1165     0.322
1166     0.394
1167     0.338
1168     0.411
1169     0.433
1170     0.521
1171     0.447
1172     0.394
1173     0.441
1174     0.318
1175    -0.208
1176    -0.400
1177    -0.169
1178    -0.032
1179     0.074
1180     0.221
1181     0.227
1182     0.310
1183     0.243
1184     0.264
1185     0.127
1186     0.365
1187     0.323
1188     0.367
1189     0.314
1190     0.439
1191     0.446
1192     0.488
1193     0.392
1194     0.246
1195     0.145
1196    -0.017
1197     0.150
1198     0.400
1199     0.415
1200     0.264
1201     0.542
1202     0.481
1203     0.445
1204     0.583
1205     0.412
1206     0.216
1207     0.348
1208     0.502
1209     0.341
1210     0.468
1211     0.580
1212     0.406
1213     0.365
1214     0.323
1215     0.327
1216     0.370
1217     0.441
1218     0.483
1219     0.496
1220     0.424
1221     0.456
1222     0.371
1223     0.384
1224     0.322
1225     0.345
1226     0.514
1227     0.184
1228    -0.023
1229    -0.225
1230    -0.304
1231    -0.260
1232     0.165
1233     0.029
1234     0.222
1235     0.377
1236     0.321
1237     0.437
1238     0.488
1239     0.477
1240     0.370
1241     0.336
1242     0.317
1243     0.158
1244     0.219
