Year     Value
1075     0.164
1076     0.164
1077     0.164
1078     0.164
1079     0.164
1080     0.164
1081     0.164
1082     0.164
1083     0.164
1084     0.164
1085     0.164
1086     0.154
1087     0.154
1088     0.154
1089     0.154
1090     0.154
1091     0.164
1092     0.164
1093     0.164
1094     0.164
1095     0.164
1096     0.164
1097     0.164
1098     0.164
1099     0.164
1100     0.174
1101     0.174
1102     0.174
1103     0.174
1104     0.174
1105     0.174
1106     0.184
1107     0.184
1108     0.184
1109     0.184
1110     0.184
1111     0.184
1112     0.184
1113     0.194
1114     0.194
1115     0.204
1116     0.204
1117     0.204
1118     0.214
1119     0.214
1120     0.214
1121     0.214
1122     0.224
1123     0.224
1124     0.224
1125     0.224
1126     0.224
1127     0.234
1128     0.234
1129     0.234
1130     0.234
1131     0.234
1132     0.244
1133     0.244
1134     0.244
1135     0.244
1136     0.244
1137     0.244
1138     0.244
1139     0.244
1140     0.254
1141     0.254
1142     0.254
1143     0.254
1144     0.254
1145     0.254
1146     0.254
1147     0.254
1148     0.254
1149     0.254
1150     0.254
1151     0.254
1152     0.254
1153     0.254
1154     0.254
1155     0.254
1156     0.254
1157     0.254
1158     0.254
1159     0.244
1160     0.234
1161     0.224
1162     0.214
1163     0.204
1164     0.194
1165     0.194
1166     0.184
1167     0.184
1168     0.174
1169     0.174
1170     0.164
1171     0.164
1172     0.164
1173     0.154
1174     0.154
1175     0.154
1176     0.154
1177     0.144
1178     0.144
1179     0.144
1180     0.134
1181     0.134
1182     0.124
1183     0.124
1184     0.124
1185     0.124
1186     0.124
1187     0.124
1188     0.114
1189     0.114
1190     0.114
1191     0.124
1192     0.134
1193     0.144
1194     0.144
1195     0.154
1196     0.154
1197     0.154
1198     0.164
1199     0.164
1200     0.164
1201     0.164
1202     0.174
1203     0.174
1204     0.174
1205     0.174
1206     0.174
1207     0.174
1208     0.174
1209     0.174
1210     0.184
1211     0.184
1212     0.194
1213     0.194
1214     0.184
1215     0.174
1216     0.174
1217     0.164
1218     0.164
1219     0.154
1220     0.154
1221     0.154
1222     0.154
1223     0.154
1224     0.154
1225     0.154
1226     0.154
1227     0.154
1228     0.154
1229     0.154
1230     0.154
1231     0.154
1232     0.154
1233     0.154
1234     0.154
1235     0.154
1236     0.144
1237     0.144
1238     0.144
1239     0.144
1240     0.144
1241     0.144
1242     0.144
1243     0.144
1244     0.124
1245     0.114
1246     0.104
1247     0.094
1248     0.084
1249     0.084
1250     0.074
1251     0.074
1252     0.064
1253     0.064
1254     0.054
1255     0.054
1256     0.044
1257     0.044
1258     0.044
1259     0.034
1260     0.024
1261     0.024
1262     0.014
1263     0.004
1264     0.004
1265    -0.006
1266    -0.006
1267    -0.016
1268    -0.016
1269    -0.026
1270    -0.036
1271    -0.046
1272    -0.056
1273    -0.056
1274    -0.066
1275    -0.056
1276    -0.036
1277    -0.026
1278    -0.016
1279    -0.006
1280    -0.006
1281    -0.006
1282    -0.006
1283    -0.006
1284    -0.016
1285    -0.016
1286    -0.016
1287    -0.016
1288    -0.016
1289    -0.016
1290    -0.016
1291    -0.016
1292    -0.006
1293    -0.006
1294     0.004
1295     0.004
1296     0.004
1297     0.004
1298     0.004
1299     0.004
1300     0.004
1301     0.014
1302     0.014
1303     0.024
1304     0.024
1305     0.034
1306     0.034
1307     0.034
1308     0.034
