Year     Value
1001     0.117
1002     0.101
1003     0.171
1004     0.079
1005     0.108
1006     0.118
1007     0.103
1008     0.102
1009     0.107
1010     0.125
1011     0.096
1012     0.090
1013     0.087
1014     0.090
1015    -0.075
1016    -0.032
1017     0.026
1018     0.053
1019     0.081
1020     0.079
1021     0.095
1022     0.070
1023     0.083
1024     0.019
1025     0.086
1026    -0.167
1027    -0.097
1028     0.012
1029     0.005
1030     0.063
1031     0.063
1032     0.080
1033     0.038
1034     0.044
1035     0.097
1036     0.079
1037     0.113
1038     0.061
1039     0.035
1040     0.047
1041     0.066
1042     0.101
1043     0.041
1044     0.069
1045     0.058
1046     0.023
1047     0.075
1048     0.070
1049     0.081
1050     0.082
1051     0.059
1052     0.086
1053     0.098
1054     0.027
1055     0.041
1056     0.038
1057     0.046
1058    -0.262
1059    -0.179
1060    -0.032
1061    -0.012
1062    -0.057
1063    -0.060
1064     0.032
1065     0.031
1066     0.074
1067     0.015
1068     0.102
1069     0.095
1070     0.038
1071     0.104
1072     0.085
1073     0.069
1074     0.067
1075     0.115
1076     0.097
1077     0.072
1078     0.079
1079     0.125
1080     0.089
1081     0.090
1082     0.079
1083     0.097
1084     0.129
1085     0.110
1086     0.173
1087     0.169
1088     0.079
1089     0.077
1090     0.138
1091     0.144
1092     0.169
1093     0.134
1094     0.149
1095     0.148
1096     0.118
1097     0.044
1098     0.081
1099     0.161
1100     0.122
1101     0.105
1102     0.101
1103     0.117
1104     0.131
1105     0.106
1106     0.162
1107     0.167
1108     0.179
1109     0.193
1110     0.213
1111     0.168
1112     0.185
1113     0.183
1114     0.172
1115     0.196
1116     0.113
1117     0.149
1118     0.156
1119     0.204
1120     0.233
1121     0.203
1122     0.204
1123     0.192
1124     0.171
1125     0.203
1126     0.197
1127     0.204
1128     0.160
1129     0.187
1130     0.194
1131     0.203
1132     0.195
1133     0.262
1134     0.252
1135     0.219
1136     0.211
1137     0.259
1138     0.267
1139     0.238
1140     0.233
1141     0.183
1142     0.211
1143     0.209
1144     0.244
1145     0.194
1146     0.250
1147     0.186
1148     0.197
1149     0.246
1150     0.199
1151     0.207
1152     0.201
1153     0.195
1154     0.243
1155     0.260
1156     0.236
1157     0.202
1158     0.214
1159     0.178
1160     0.191
1161     0.220
1162     0.193
1163     0.218
1164     0.196
1165     0.248
1166     0.136
1167     0.110
1168     0.169
1169     0.177
1170     0.194
1171     0.224
1172     0.243
1173     0.211
1174     0.236
1175    -0.234
1176    -0.123
1177    -0.008
1178     0.049
1179     0.129
1180     0.140
1181     0.121
1182     0.174
1183     0.169
1184     0.166
1185     0.200
1186     0.194
1187     0.110
1188     0.167
1189     0.193
1190     0.183
1191     0.185
1192     0.194
1193     0.206
1194     0.080
1195     0.097
1196     0.172
1197     0.115
1198     0.174
1199     0.136
1200     0.216
1201     0.204
1202     0.209
1203     0.226
1204     0.225
1205     0.092
1206     0.115
1207     0.193
1208     0.171
1209     0.249
1210     0.177
1211     0.220
1212     0.191
1213     0.158
1214     0.205
1215     0.218
1216     0.197
1217     0.241
1218     0.177
1219     0.194
1220     0.215
1221     0.255
1222     0.242
1223     0.197
1224     0.182
1225     0.203
1226     0.235
1227     0.218
1228     0.190
1229    -0.100
1230    -0.056
1231     0.056
1232     0.110
1233     0.144
1234     0.133
1235     0.130
1236     0.148
1237     0.165
1238     0.202
1239     0.181
1240     0.192
1241     0.172
1242     0.174
1243     0.194
1244     0.138
1245     0.177
1246     0.173
1247     0.154
1248     0.174
1249     0.149
1250     0.230
1251     0.219
1252     0.213
1253     0.183
1254     0.174
1255     0.182
1256     0.157
1257     0.152
1258     0.127
1259    -0.662
1260    -0.477
1261    -0.222
1262    -0.100
1263     0.033
1264     0.065
1265     0.058
1266     0.090
1267     0.080
1268     0.146
1269     0.127
1270     0.160
1271     0.125
1272     0.153
1273     0.124
1274     0.135
1275    -0.031
1276     0.015
1277     0.066
1278     0.091
1279     0.145
1280     0.132
1281     0.145
1282     0.159
1283     0.115
1284     0.099
1285    -0.128
1286    -0.048
1287     0.021
1288     0.029
1289     0.057
1290     0.113
1291     0.158
1292     0.149
1293     0.125
1294     0.143
1295    -0.132
1296    -0.055
1297     0.080
1298     0.079
1299     0.085
1300     0.098
1301     0.092
1302     0.118
1303     0.102
1304     0.115
1305     0.080
1306     0.152
1307     0.085
1308     0.093
