Year     Value
1000     0.998
1001     1.037
1002     0.760
1003     0.634
1004     0.512
1005     0.624
1006     0.708
1007     0.702
1008     0.701
1009     0.805
1010     0.751
1011     0.654
1012     0.890
1013     0.822
1014     0.750
1015     0.398
1016     0.346
1017     0.338
1018     0.534
1019     0.503
1020     0.580
1021     0.653
1022     0.538
1023     0.490
1024     0.666
1025     0.611
1026     0.044
1027     0.122
1028     0.211
1029     0.311
1030     0.246
1031     0.139
1032     0.261
1033     0.255
1034     0.400
1035     0.478
1036     0.433
1037     0.613
1038     0.544
1039     0.394
1040     0.402
1041     0.526
1042     0.455
1043     0.587
1044     0.565
1045     0.543
1046     0.646
1047     0.639
1048     0.363
1049     0.395
1050     0.309
1051     0.136
1052     0.409
1053     0.417
1054     0.461
1055     0.410
1056     0.454
1057     0.511
1058     0.229
1059     0.147
1060     0.164
1061     0.416
1062     0.376
1063     0.311
1064     0.332
1065     0.484
1066     0.324
1067     0.377
1068     0.581
1069     0.597
1070     0.640
1071     0.687
1072     0.618
1073     0.577
1074     0.594
1075     0.412
1076     0.554
1077     0.605
1078     0.468
1079     0.383
1080     0.300
1081     0.363
1082     0.376
1083     0.584
1084     0.385
1085     0.542
1086     0.622
1087     0.570
1088     0.530
1089     0.730
1090     0.625
1091     0.601
1092     0.818
1093     0.891
1094     0.837
1095     0.827
1096     0.881
1097     0.748
1098     0.688
1099     0.708
1100     0.674
1101     0.704
1102     0.640
1103     0.663
1104     0.617
1105     0.608
1106     0.491
1107     0.542
1108     0.620
1109     0.580
1110     0.567
1111     0.557
1112     0.483
1113     0.447
1114     0.549
1115     0.598
1116     0.631
1117     0.595
1118     0.555
1119     0.661
1120     0.689
1121     0.752
1122     0.811
1123     0.604
1124     0.815
1125     0.832
1126     0.876
1127     0.804
1128     0.819
1129     0.856
1130     0.762
1131     0.843
1132     0.967
1133     0.743
1134     0.861
1135     0.857
1136     0.846
1137     0.665
1138     0.830
1139     0.740
1140     0.687
1141     0.839
1142     0.866
1143     0.977
1144     0.923
1145     0.917
1146     1.030
1147     1.159
1148     0.965
1149     1.030
1150     0.827
1151     0.940
1152     0.666
1153     0.810
1154     0.637
1155     0.824
1156     0.559
1157     0.687
1158     0.728
1159     0.556
1160     0.537
1161     0.522
1162     0.558
1163     0.663
1164     0.821
1165     0.683
1166     0.561
1167     0.477
1168     0.749
1169     0.702
1170     0.421
1171     0.619
1172     0.663
1173     0.759
1174     0.699
1175     0.103
1176     0.143
1177     0.014
1178     0.123
1179     0.357
1180     0.472
1181     0.551
1182     0.673
1183     0.772
1184     0.746
1185     0.692
1186     0.755
1187     0.712
1188     0.709
1189     0.779
1190     0.717
1191     0.606
1192     0.636
1193     0.566
1194     0.276
1195     0.423
1196     0.386
1197     0.326
1198     0.396
1199     0.357
1200     0.634
1201     0.513
1202     0.688
1203     0.502
1204     0.557
1205     0.381
1206     0.400
1207     0.323
1208     0.421
1209     0.319
1210     0.429
1211     0.609
1212     0.489
1213     0.448
1214     0.573
1215     0.726
1216     0.838
1217     0.613
1218     0.643
1219     0.661
1220     0.486
1221     0.528
1222     0.647
1223     0.658
1224     0.670
1225     0.594
1226     0.747
1227     0.503
1228     0.618
1229     0.255
1230     0.388
1231     0.443
1232     0.596
1233     0.704
1234     0.559
1235     0.617
1236     0.573
1237     0.370
1238     0.260
1239     0.430
1240     0.619
1241     0.618
1242     0.678
1243     0.733
1244     0.748
1245     0.705
1246     0.657
