Year     Value
1000     0.608
1001     0.649
1002     0.375
1003     0.251
1004     0.133
1005     0.246
1006     0.332
1007     0.328
1008     0.330
1009     0.437
1010     0.385
1011     0.290
1012     0.527
1013     0.460
1014     0.391
1015     0.042
1016    -0.009
1017    -0.015
1018     0.183
1019     0.153
1020     0.231
1021     0.307
1022     0.193
1023     0.147
1024     0.324
1025     0.271
1026    -0.295
1027    -0.214
1028    -0.124
1029    -0.021
1030    -0.086
1031    -0.191
1032    -0.068
1033    -0.072
1034     0.075
1035     0.155
1036     0.110
1037     0.291
1038     0.225
1039     0.077
1040     0.085
1041     0.211
1042     0.140
1043     0.274
1044     0.255
1045     0.234
1046     0.338
1047     0.332
1048     0.056
1049     0.090
1050     0.005
1051    -0.166
1052     0.108
1053     0.117
1054     0.161
1055     0.112
1056     0.158
1057     0.216
1058    -0.066
1059    -0.146
1060    -0.129
1061     0.124
1062     0.087
1063     0.022
1064     0.045
1065     0.197
1066     0.038
1067     0.092
1068     0.298
1069     0.314
1070     0.359
1071     0.407
1072     0.338
1073     0.300
1074     0.318
1075     0.135
1076     0.279
1077     0.330
1078     0.195
1079     0.111
1080     0.028
1081     0.093
1082     0.107
1083     0.315
1084     0.117
1085     0.275
1086     0.356
1087     0.305
1088     0.267
1089     0.466
1090     0.362
1091     0.340
1092     0.558
1093     0.632
1094     0.578
1095     0.570
1096     0.625
1097     0.492
1098     0.433
1099     0.454
1100     0.421
1101     0.452
1102     0.389
1103     0.413
1104     0.368
1105     0.358
1106     0.242
1107     0.294
1108     0.374
1109     0.334
1110     0.322
1111     0.312
1112     0.240
1113     0.204
1114     0.308
1115     0.358
1116     0.391
1117     0.355
1118     0.316
1119     0.423
1120     0.452
1121     0.515
1122     0.576
1123     0.370
1124     0.580
1125     0.600
1126     0.644
1127     0.573
1128     0.587
1129     0.626
1130     0.533
1131     0.614
1132     0.740
1133     0.516
1134     0.634
1135     0.630
1136     0.620
1137     0.441
1138     0.606
1139     0.516
1140     0.464
1141     0.617
1142     0.645
1143     0.758
1144     0.704
1145     0.698
1146     0.811
1147     0.941
1148     0.749
1149     0.815
1150     0.612
1151     0.726
1152     0.451
1153     0.596
1154     0.424
1155     0.613
1156     0.347
1157     0.477
1158     0.517
1159     0.345
1160     0.328
1161     0.314
1162     0.350
1163     0.456
1164     0.614
1165     0.477
1166     0.356
1167     0.273
1168     0.545
1169     0.498
1170     0.219
1171     0.416
1172     0.462
1173     0.558
1174     0.498
1175    -0.097
1176    -0.056
1177    -0.184
1178    -0.074
1179     0.160
1180     0.275
1181     0.355
1182     0.477
1183     0.577
1184     0.552
1185     0.499
1186     0.562
1187     0.520
1188     0.517
1189     0.589
1190     0.526
1191     0.417
1192     0.447
1193     0.378
1194     0.087
1195     0.235
1196     0.199
1197     0.140
1198     0.210
1199     0.172
1200     0.448
1201     0.330
1202     0.504
1203     0.319
1204     0.375
1205     0.199
1206     0.218
1207     0.142
1208     0.241
1209     0.139
1210     0.249
1211     0.429
1212     0.311
1213     0.269
1214     0.397
1215     0.549
1216     0.662
1217     0.438
1218     0.468
1219     0.487
1220     0.313
1221     0.354
1222     0.475
1223     0.486
1224     0.500
1225     0.423
1226     0.577
1227     0.334
1228     0.449
1229     0.086
1230     0.219
1231     0.275
1232     0.428
1233     0.538
1234     0.392
1235     0.451
1236     0.409
1237     0.205
1238     0.097
1239     0.266
1240     0.455
1241     0.456
1242     0.517
1243     0.571
1244     0.587
1245     0.545
1246     0.497
1247     0.646
1248     0.652
1249     0.692
1250     0.417
1251     0.444
1252     0.604
1253     0.493
1254     0.433
1255     0.382
1256     0.506
1257     0.593
1258     0.418
1259    -0.637
1260    -0.953
1261    -0.691
1262    -0.273
1263    -0.266
1264     0.183
1265     0.203
1266     0.311
1267     0.202
1268     0.157
1269     0.251
1270     0.314
1271     0.389
1272     0.324
1273     0.347
1274     0.379
1275     0.134
1276     0.133
1277     0.226
1278     0.254
1279     0.120
1280     0.146
1281     0.131
1282     0.233
1283     0.222
1284     0.412
1285     0.052
1286    -0.093
1287    -0.114
1288    -0.202
1289    -0.196
1290    -0.014
1291     0.062
1292     0.051
1293     0.247
1294     0.249
1295    -0.088
1296    -0.133
1297     0.067
1298     0.142
1299     0.138
1300     0.111
1301     0.296
1302     0.313
1303     0.263
1304     0.309
1305     0.382
1306     0.215
1307     0.195
1308     0.237
1309     0.104
1310     0.175
1311     0.149
1312     0.153
1313     0.165
1314     0.051
1315     0.269
1316     0.171
1317     0.246
1318     0.261
1319     0.116
1320     0.298
1321     0.268
1322     0.318
1323     0.221
1324     0.085
1325     0.244
1326     0.290
1327     0.252
1328     0.259
1329    -0.105
1330    -0.175
1331     0.101
1332     0.015
1333     0.150
1334     0.008
1335     0.098
1336     0.063
1337     0.099
1338     0.126
1339     0.194
1340     0.247
1341     0.174
1342     0.296
1343     0.262
1344     0.274
1345     0.087
1346     0.124
1347     0.073
1348     0.037
1349     0.098
1350    -0.073
1351     0.060
1352     0.022
1353     0.112
1354     0.192
1355     0.197
1356     0.061
1357     0.245
1358     0.005
1359     0.001
1360     0.148
1361    -0.012
1362     0.040
1363     0.130
1364     0.297
1365     0.380
1366     0.203
1367     0.110
1368     0.267
1369     0.394
1370     0.211
1371     0.408
1372     0.384
1373     0.507
1374     0.501
1375     0.286
1376     0.159
1377     0.108
1378     0.157
1379    -0.003
1380     0.055
1381     0.333
1382     0.466
1383     0.301
1384     0.304
1385     0.148
1386     0.201
1387     0.114
1388     0.027
1389     0.110
1390     0.169
1391     0.239
1392     0.247
1393     0.320
1394     0.303
1395     0.158
1396     0.272
1397     0.260
1398     0.082
1399     0.228
1400     0.162
1401     0.405
1402     0.217
1403     0.172
1404     0.160
1405    -0.021
1406    -0.007
1407     0.094
1408     0.054
1409     0.209
1410     0.169
1411     0.126
1412     0.129
1413     0.399
1414     0.490
