Year     Value
1500     0.122
1501    -0.027
1502     0.052
1503     0.122
1504     0.112
1505     0.012
1506     0.033
1507     0.062
1508    -0.048
1509     0.042
1510    -0.068
1511     0.103
1512     0.182
1513     0.212
1514     0.152
1515     0.172
1516     0.022
1517     0.042
1518     0.042
1519     0.033
1520    -0.098
1521    -0.158
1522     0.172
1523    -0.018
1524     0.012
1525     0.133
1526     0.073
1527     0.042
1528     0.062
1529     0.152
1530     0.082
1531     0.103
1532     0.112
1533     0.082
1534     0.082
1535    -0.027
1536     0.092
1537     0.003
1538    -0.018
1539    -0.008
1540     0.033
1541     0.033
1542     0.283
1543    -0.008
1544     0.163
1545     0.062
1546     0.103
1547     0.052
1548     0.212
1549     0.092
1550     0.142
1551     0.003
1552    -0.108
1553    -0.038
1554    -0.087
1555     0.103
1556     0.012
1557     0.082
1558    -0.078
1559     0.062
1560    -0.147
1561    -0.078
1562    -0.158
1563    -0.038
1564    -0.188
1565    -0.087
1566    -0.068
1567    -0.128
1568     0.022
1569    -0.018
1570    -0.128
1571    -0.038
1572    -0.087
1573    -0.098
1574    -0.098
1575     0.033
1576     0.012
1577     0.122
1578     0.022
1579     0.073
1580     0.073
1581     0.133
1582    -0.087
1583     0.012
1584    -0.068
1585    -0.038
1586    -0.108
1587    -0.128
1588    -0.078
1589    -0.057
1590    -0.087
1591    -0.238
1592    -0.238
1593    -0.238
1594    -0.217
1595    -0.247
1596    -0.038
1597     0.033
1598     0.003
1599    -0.008
1600    -0.068
1601    -0.038
1602    -0.048
1603     0.182
1604     0.103
1605     0.232
1606     0.042
1607     0.082
1608     0.103
1609    -0.008
1610     0.103
1611     0.112
1612     0.142
1613     0.223
1614     0.103
1615     0.223
1616     0.152
1617    -0.018
1618     0.163
1619     0.253
1620     0.163
1621     0.042
1622     0.073
1623     0.062
1624     0.042
1625     0.152
1626    -0.057
1627    -0.277
1628    -0.087
1629    -0.078
1630    -0.138
1631    -0.158
1632    -0.087
1633    -0.188
1634     0.033
1635    -0.008
1636    -0.027
1637    -0.038
1638     0.042
1639     0.103
1640     0.062
1641    -0.008
1642    -0.098
1643    -0.038
1644     0.012
1645    -0.188
1646     0.042
1647     0.012
1648    -0.048
1649    -0.098
1650    -0.268
1651    -0.128
1652    -0.138
1653    -0.168
1654    -0.198
1655    -0.138
1656    -0.158
1657    -0.117
1658    -0.198
1659    -0.048
1660    -0.057
1661    -0.018
1662    -0.147
1663    -0.188
1664    -0.128
1665    -0.228
