Year     Value
1500     0.357
1501     0.395
1502     0.321
1503     0.100
1504     0.074
1505     0.116
1506    -0.025
1507     0.035
1508     0.081
1509     0.242
1510     0.245
1511    -0.017
1512    -0.228
1513     0.169
1514     0.235
1515     0.305
1516     0.277
1517    -0.078
1518     0.033
1519     0.084
1520     0.215
1521     0.173
1522     0.033
1523     0.017
1524     0.085
1525    -0.002
1526     0.186
1527     0.292
1528     0.269
1529     0.448
1530     0.346
1531     0.235
1532     0.312
1533     0.226
1534     0.251
1535     0.309
1536     0.202
1537     0.188
1538     0.131
1539    -0.145
1540    -0.039
1541     0.040
1542     0.227
1543     0.005
1544     0.023
1545     0.114
1546     0.061
1547     0.122
1548     0.092
1549     0.158
1550     0.263
1551     0.065
1552    -0.099
1553    -0.077
1554    -0.153
1555    -0.222
1556    -0.264
1557    -0.082
1558     0.047
1559     0.076
1560     0.004
1561    -0.172
1562     0.119
1563     0.303
1564     0.134
1565     0.045
1566     0.158
1567     0.116
1568     0.091
1569     0.077
1570     0.197
1571     0.055
1572    -0.031
1573     0.005
1574    -0.078
1575     0.035
1576     0.098
1577     0.084
1578     0.048
1579     0.109
1580     0.079
1581     0.202
1582     0.155
1583     0.010
1584    -0.095
1585    -0.401
1586    -0.389
1587    -0.374
1588    -0.292
1589    -0.083
1590    -0.030
1591    -0.046
1592    -0.042
1593    -0.100
1594    -0.195
1595    -0.197
1596    -0.084
1597    -0.255
1598    -0.162
1599    -0.035
1600    -0.285
1601    -0.352
1602    -0.391
1603    -0.210
1604     0.121
1605     0.030
1606    -0.048
1607    -0.005
1608    -0.053
1609     0.094
1610     0.316
1611     0.270
1612     0.098
1613     0.206
1614    -0.104
1615     0.036
1616     0.102
1617     0.023
1618    -0.042
1619     0.159
1620     0.277
1621     0.389
1622     0.213
1623     0.124
1624     0.253
1625     0.358
1626     0.246
1627     0.322
1628     0.430
1629     0.245
1630     0.131
1631     0.173
1632     0.112
1633    -0.032
1634     0.052
1635     0.019
1636    -0.047
1637     0.018
1638     0.092
1639     0.129
1640     0.148
1641     0.061
1642    -0.378
1643    -0.154
1644    -0.085
1645    -0.165
1646    -0.085
1647    -0.098
1648    -0.127
1649    -0.181
1650    -0.075
1651     0.187
1652     0.327
1653     0.074
1654    -0.065
1655    -0.055
1656     0.033
1657     0.140
1658     0.061
1659     0.168
1660     0.090
1661     0.117
1662    -0.028
1663     0.006
1664     0.209
1665     0.189
1666    -0.141
1667    -0.224
1668    -0.026
1669    -0.136
1670     0.013
1671     0.084
1672    -0.108
1673    -0.013
1674    -0.163
1675    -0.208
1676    -0.234
1677    -0.044
1678    -0.171
1679    -0.021
1680    -0.122
1681    -0.260
1682    -0.264
1683    -0.155
1684    -0.110
1685     0.012
1686    -0.086
1687    -0.347
1688    -0.253
1689    -0.213
1690    -0.150
1691    -0.092
1692    -0.160
1693    -0.080
1694     0.100
1695    -0.058
1696    -0.238
1697    -0.421
1698    -0.339
1699    -0.345
1700    -0.307
1701    -0.207
1702    -0.120
1703    -0.138
1704    -0.196
1705    -0.267
1706    -0.426
1707    -0.365
1708    -0.346
1709    -0.118
1710    -0.235
1711    -0.119
1712    -0.047
1713    -0.058
1714    -0.041
1715    -0.270
1716    -0.124
1717    -0.175
1718    -0.130
1719     0.062
1720     0.047
1721    -0.031
1722     0.116
1723     0.072
1724    -0.032
1725    -0.055
1726    -0.116
1727     0.077
1728    -0.077
1729     0.025
1730     0.159
1731     0.083
1732    -0.087
1733    -0.027
1734     0.085
1735     0.153
1736     0.010
1737     0.127
1738    -0.000
1739     0.075
1740     0.053
1741     0.076
1742     0.172
1743     0.114
1744     0.085
1745     0.009
1746     0.079
1747     0.071
1748     0.171
1749     0.215
1750     0.278
1751     0.032
1752    -0.118
1753     0.202
1754     0.202
1755     0.132
1756     0.213
1757     0.241
1758     0.026
1759    -0.073
1760     0.041
1761     0.043
1762     0.008
1763    -0.017
1764     0.106
1765     0.121
1766    -0.015
1767    -0.021
1768     0.085
1769    -0.008
1770    -0.036
1771     0.365
1772     0.135
1773    -0.023
1774     0.047
1775     0.099
1776     0.094
1777     0.140
1778     0.076
1779    -0.066
1780     0.115
1781     0.177
1782     0.177
1783    -0.083
1784     0.092
1785     0.109
1786     0.314
1787     0.274
1788     0.172
1789    -0.097
1790     0.031
1791     0.117
1792     0.223
1793     0.326
1794     0.189
1795     0.275
1796     0.201
1797     0.261
1798     0.177
1799     0.349
1800     0.096
1801     0.099
1802     0.183
1803     0.165
1804    -0.094
1805    -0.046
1806     0.072
1807     0.326
1808    -0.010
1809    -0.346
1810    -0.596
1811    -0.281
1812    -0.385
1813    -0.209
1814    -0.085
1815    -0.115
1816    -0.651
1817    -0.534
1818    -0.408
1819    -0.399
1820    -0.193
1821    -0.111
1822    -0.401
1823    -0.322
1824    -0.216
1825    -0.264
1826    -0.084
1827     0.116
1828     0.019
1829    -0.001
1830    -0.097
1831    -0.265
1832    -0.243
1833     0.013
1834     0.114
1835     0.120
1836     0.074
1837    -0.123
1838    -0.192
1839    -0.148
1840    -0.070
1841     0.109
1842     0.069
1843     0.091
1844    -0.068
1845    -0.036
1846    -0.072
1847    -0.082
1848     0.064
1849     0.088
1850    -0.100
1851    -0.243
1852    -0.030
1853     0.159
1854    -0.106
1855     0.143
1856    -0.003
1857    -0.082
1858    -0.242
1859    -0.043
1860    -0.128
1861    -0.230
1862    -0.173
1863    -0.042
1864    -0.141
1865     0.121
1866     0.241
1867    -0.223
1868    -0.121
1869     0.069
1870    -0.071
1871    -0.053
1872     0.063
1873     0.058
1874    -0.130
1875     0.002
1876     0.073
1877     0.067
1878     0.055
1879     0.075
1880    -0.062
1881     0.133
1882    -0.129
1883    -0.210
1884    -0.522
1885    -0.378
1886    -0.425
1887    -0.106
1888     0.057
1889    -0.020
1890    -0.022
1891    -0.185
1892    -0.274
1893    -0.121
1894    -0.169
1895    -0.124
1896     0.211
1897     0.034
1898    -0.002
1899     0.230
1900     0.230
1901     0.274
1902     0.149
1903    -0.117
1904     0.006
1905     0.224
1906     0.372
1907     0.270
1908     0.096
1909     0.107
1910     0.203
1911     0.138
1912    -0.018
1913     0.066
1914    -0.116
1915    -0.298
1916     0.114
1917     0.012
1918     0.043
1919     0.122
1920     0.153
1921     0.188
1922     0.150
1923     0.448
1924     0.319
1925     0.229
1926     0.315
1927     0.541
1928     0.462
1929     0.599
1930     0.513
1931     0.563
1932     0.407
1933     0.537
1934     0.381
1935     0.033
1936     0.107
1937     0.236
1938     0.236
1939     0.330
1940     0.495
1941     0.514
1942     0.331
1943     0.601
1944     0.546
1945     0.471
1946     0.395
1947     0.301
1948     0.211
1949     0.353
1950     0.314
1951     0.126
1952     0.273
1953     0.344
1954     0.318
1955     0.388
1956     0.384
1957     0.519
1958     0.490
1959     0.464
1960     0.373
1961     0.400
1962     0.517
1963     0.317
1964     0.150
1965    -0.086
1966    -0.076
1967     0.089
1968     0.206
1969     0.046
1970     0.117
1971     0.226
1972     0.231
1973     0.242
1974     0.256
1975     0.149
1976    -0.093
1977     0.124
1978     0.279
1979     0.425
1980     0.325
1981     0.517
1982     0.513
1983     0.118
1984     0.210
1985     0.332
1986     0.317
1987     0.467
1988     0.551
1989     0.565
1990     0.726
1991     0.684
1992     0.401
1993     0.308
1994     0.367
1995     0.699
1996     0.909
1997     0.768
1998     1.067
