Year     Value
 900     0.133
 901     0.154
 902     0.156
 903     0.157
 904     0.157
 905     0.157
 906     0.157
 907     0.129
 908     0.106
 909     0.150
 910     0.156
 911     0.157
 912     0.157
 913     0.157
 914     0.157
 915     0.073
 916     0.004
 917     0.136
 918     0.154
 919     0.156
 920     0.157
 921     0.157
 922     0.157
 923     0.031
 924     0.137
 925     0.155
 926     0.156
 927     0.157
 928     0.157
 929     0.157
 930     0.157
 931     0.157
 932     0.157
 933     0.157
 934    -0.656
 935    -0.116
 936     0.125
 937     0.153
 938     0.156
 939     0.157
 940     0.157
 941    -2.017
 942    -1.063
 943    -0.114
 944     0.133
 945     0.151
 946     0.099
 947     0.055
 948     0.143
 949     0.155
 950     0.156
 951     0.157
 952     0.157
 953     0.157
 954     0.157
 955     0.157
 956     0.157
 957     0.157
 958     0.157
 959     0.157
 960     0.157
 961    -0.094
 962     0.117
 963     0.153
 964     0.156
 965     0.157
 966     0.157
 967     0.157
 968     0.157
 969    -1.070
 970    -1.056
 971    -0.128
 972     0.130
 973     0.151
 974     0.155
 975     0.157
 976     0.157
 977     0.157
 978     0.157
 979     0.157
 980     0.157
 981     0.157
 982     0.157
 983     0.157
 984     0.157
 985     0.157
 986     0.157
 987     0.157
 988     0.157
 989     0.157
 990     0.157
 991     0.032
 992    -1.037
 993    -0.284
 994     0.098
 995     0.148
 996     0.155
 997     0.100
 998     0.055
 999     0.143
1000     0.155
1001     0.156
1002     0.157
1003     0.157
1004    -0.046
1005     0.088
1006     0.149
1007     0.088
1008     0.134
1009     0.154
1010     0.156
1011     0.157
1012     0.157
1013     0.157
1014     0.157
1015     0.157
1016     0.157
1017     0.157
1018     0.157
1019     0.157
1020     0.157
1021     0.073
1022     0.004
1023     0.136
1024     0.154
1025     0.156
1026     0.157
1027     0.157
1028     0.157
1029     0.157
1030     0.157
1031     0.157
1032     0.157
1033    -0.252
1034    -0.248
1035     0.061
1036     0.148
1037    -0.255
1038    -0.248
1039     0.061
1040     0.148
1041     0.154
1042     0.156
1043     0.157
1044     0.157
1045     0.157
1046    -0.387
1047    -0.149
1048     0.089
1049     0.150
1050     0.155
1051     0.156
1052     0.157
1053     0.157
1054     0.157
1055     0.157
1056     0.157
1057     0.157
1058     0.157
1059     0.157
1060    -0.013
1061     0.100
1062     0.150
1063     0.156
1064     0.157
1065     0.157
1066     0.089
1067     0.134
1068     0.154
1069     0.156
1070     0.073
1071     0.004
1072     0.136
1073     0.154
1074     0.156
1075     0.157
1076     0.157
1077     0.157
1078     0.157
1079     0.157
1080     0.157
1081     0.157
1082    -0.252
1083    -0.248
1084     0.061
1085     0.148
1086     0.154
1087     0.156
1088     0.157
1089     0.157
1090     0.089
1091     0.134
1092     0.154
1093     0.156
1094     0.157
1095     0.157
1096     0.157
1097     0.157
1098     0.157
1099     0.157
1100     0.157
1101     0.157
1102     0.157
1103     0.157
1104    -0.011
