Year     Value
 900    -0.719
 901    -0.039
 902     0.347
 903     0.347
 904     0.347
 905     0.347
 906     0.347
 907     0.347
 908     0.347
 909     0.347
 910     0.347
 911     0.347
 912     0.347
 913    -0.128
 914    -0.058
 915     0.198
 916     0.293
 917     0.347
 918     0.347
 919     0.347
 920     0.347
 921     0.347
 922     0.347
 923     0.347
 924     0.347
 925     0.347
 926     0.347
 927     0.347
 928     0.347
 929     0.347
 930     0.347
 931     0.347
 932     0.347
 933     0.347
 934     0.347
 935     0.347
 936     0.347
 937     0.347
 938     0.347
 939    -0.337
 940    -0.236
 941     0.132
 942     0.269
 943    -0.675
 944    -0.525
 945     0.026
 946     0.231
 947     0.347
 948     0.347
 949     0.347
 950     0.347
 951     0.347
 952     0.347
 953     0.347
 954     0.347
 955     0.347
 956     0.347
 957     0.347
 958     0.347
 959     0.347
 960     0.347
 961    -0.007
 962     0.045
 963     0.236
 964     0.307
 965     0.347
 966     0.347
 967     0.347
 968     0.347
 969    -0.245
 970    -0.157
 971    -0.402
 972    -0.201
 973     0.170
 974     0.283
 975     0.347
 976     0.347
 977     0.347
 978     0.347
 979     0.347
 980     0.347
 981     0.347
 982     0.347
 983     0.347
 984     0.347
 985     0.347
 986     0.250
 987     0.265
 988     0.317
 989     0.336
 990     0.347
 991     0.347
 992     0.347
 993    -3.604
 994    -3.022
 995    -0.892
 996    -0.444
 997     0.055
 998     0.240
 999     0.308
1000     0.347
1001     0.347
1002     0.347
1003    -0.552
1004    -0.420
1005     0.065
1006     0.245
1007    -0.072
1008    -0.010
1009     0.216
1010     0.299
1011     0.347
1012     0.347
1013     0.347
1014     0.347
1015     0.347
1016     0.347
1017     0.347
1018     0.065
1019     0.107
1020     0.259
1021     0.315
1022     0.347
1023     0.347
1024    -0.043
1025     0.014
1026     0.225
1027     0.303
1028     0.347
1029     0.347
1030     0.347
1031     0.347
1032    -1.569
1033    -1.286
1034    -0.254
1035     0.129
1036     0.347
1037     0.347
1038     0.347
1039     0.106
1040     0.141
1041     0.271
1042     0.320
1043     0.347
1044     0.347
1045     0.347
1046     0.347
1047     0.258
1048     0.272
1049     0.319
1050     0.337
1051     0.347
1052     0.347
1053     0.347
1054     0.347
1055     0.347
1056     0.347
1057     0.347
1058     0.347
1059     0.347
1060     0.347
1061     0.347
1062    -0.552
1063    -0.420
1064     0.065
1065     0.245
1066    -0.039
1067     0.018
1068     0.226
1069     0.303
1070     0.347
1071     0.347
1072     0.347
1073     0.347
1074     0.347
1075     0.347
1076     0.347
1077     0.347
1078     0.347
