Year     Value
1001     0.274
1002     0.274
1003     0.274
1004    -0.526
1005    -0.026
1006     0.274
1007     0.274
1008     0.274
1009     0.274
1010     0.274
1011     0.274
1012     0.274
1013     0.274
1014     0.274
1015    -2.516
1016    -0.726
1017     0.274
1018     0.274
1019     0.274
1020     0.274
1021     0.274
1022     0.274
1023     0.274
1024     0.274
1025     0.274
1026    -2.996
1027    -0.926
1028     0.274
1029     0.274
1030     0.274
1031     0.274
1032     0.274
1033     0.274
1034     0.274
1035     0.274
1036     0.274
1037     0.274
1038     0.274
1039     0.274
1040     0.274
1041     0.274
1042     0.274
1043     0.274
1044     0.274
1045     0.274
1046     0.274
1047     0.274
1048     0.274
1049     0.274
1050     0.274
1051     0.274
1052     0.274
1053     0.274
1054     0.274
1055     0.274
1056     0.274
1057     0.274
1058    -4.236
1059    -1.426
1060     0.274
1061     0.274
1062    -0.926
1063    -0.126
1064     0.274
1065     0.274
1066     0.274
1067     0.274
1068     0.274
1069     0.274
1070     0.274
1071     0.274
1072     0.274
1073     0.274
1074     0.274
1075     0.274
1076     0.274
1077     0.274
1078     0.274
1079     0.274
1080    -0.526
1081    -0.026
1082     0.274
1083     0.274
1084     0.274
1085     0.274
1086     0.274
1087     0.274
1088     0.274
1089     0.274
1090     0.274
1091     0.274
1092     0.274
1093     0.274
1094     0.274
1095     0.274
1096     0.274
1097    -1.576
1098    -0.426
1099     0.274
1100     0.274
1101     0.274
1102     0.274
1103     0.274
1104     0.274
1105     0.274
1106     0.274
1107     0.274
1108     0.274
1109     0.274
1110     0.274
1111     0.274
1112     0.274
1113     0.274
1114     0.274
1115     0.274
1116     0.274
1117     0.274
1118     0.274
1119     0.274
1120     0.274
1121     0.274
1122     0.274
1123     0.274
1124     0.274
1125     0.274
1126     0.274
1127     0.274
1128     0.274
1129     0.274
1130     0.274
1131     0.274
1132     0.274
1133     0.274
1134     0.274
1135     0.274
1136     0.274
1137     0.274
1138     0.274
1139     0.274
1140     0.274
1141     0.274
1142     0.274
1143     0.274
1144     0.274
1145     0.274
1146     0.274
1147     0.274
1148     0.274
1149     0.274
1150     0.274
1151     0.274
1152     0.274
1153     0.274
1154     0.274
1155     0.274
1156     0.274
1157     0.274
1158     0.274
1159     0.274
1160     0.274
1161     0.274
1162     0.274
1163     0.274
1164     0.274
1165     0.274
1166    -0.826
1167    -0.126
1168     0.274
1169     0.274
1170     0.274
1171     0.274
1172     0.274
1173     0.274
1174     0.274
1175    -6.666
1176    -2.326
1177    -0.726
1178     0.274
1179     0.274
1180     0.274
1181     0.274
1182     0.274
1183     0.274
1184     0.274
1185     0.274
1186     0.274
1187     0.274
1188     0.274
1189     0.274
1190     0.274
1191     0.274
1192     0.274
