Year     Value
1500     0.175
1501     0.161
1502     0.329
1503     0.101
1504     0.122
1505     0.175
1506     0.178
1507     0.212
1508     0.186
1509     0.189
1510     0.212
1511     0.163
1512     0.164
1513     0.091
1514     0.123
1515     0.092
1516     0.187
1517     0.189
1518     0.128
1519     0.250
1520     0.202
1521     0.150
1522    -0.333
1523    -0.296
1524    -0.057
1525    -0.120
1526    -0.024
1527     0.113
1528     0.204
1529     0.174
1530     0.252
1531     0.246
1532     0.189
1533     0.204
1534     0.157
1535     0.187
1536     0.183
1537     0.220
1538     0.203
1539     0.203
1540     0.276
1541     0.239
1542     0.134
1543     0.215
1544     0.191
1545     0.163
1546     0.259
1547     0.105
1548     0.179
1549     0.193
1550     0.155
1551     0.153
1552     0.160
1553     0.119
1554     0.135
1555     0.198
1556     0.260
1557     0.135
1558     0.151
1559     0.204
1560     0.212
1561     0.173
1562     0.127
1563     0.201
1564     0.010
1565     0.083
1566     0.165
1567     0.232
1568    -0.299
1569    -0.298
1570     0.051
1571     0.104
1572     0.181
1573     0.120
1574     0.125
1575     0.177
1576     0.128
1577     0.201
1578     0.193
1579     0.183
1580     0.230
1581     0.184
1582     0.208
1583     0.147
1584     0.152
1585    -0.072
1586    -0.071
1587    -0.937
1588    -0.792
1589    -0.136
1590     0.049
1591     0.200
1592     0.242
1593    -0.457
1594    -0.500
1595    -0.063
1596     0.060
1597     0.193
1598     0.212
1599     0.217
1600    -1.258
1601    -1.671
1602    -0.506
1603    -0.088
1604     0.156
1605    -0.433
1606    -0.436
1607    -0.069
1608     0.134
1609     0.197
1610     0.140
1611     0.160
1612     0.070
1613     0.109
1614     0.188
1615     0.095
1616     0.197
1617     0.213
1618     0.080
1619     0.180
1620    -0.652
1621    -0.733
1622    -0.114
1623     0.025
1624     0.222
1625     0.183
1626     0.137
1627     0.179
1628     0.207
1629     0.267
1630     0.129
1631     0.168
1632    -0.028
1633    -0.007
1634     0.118
1635     0.080
1636     0.092
1637     0.203
1638     0.178
1639     0.171
1640    -0.023
1641    -1.022
1642    -1.714
1643    -0.566
1644    -0.040
1645     0.150
1646     0.097
1647    -0.089
1648     0.137
1649     0.158
1650     0.147
1651     0.184
1652     0.164
1653     0.258
1654     0.268
1655     0.224
1656     0.191
1657     0.159
1658     0.234
1659     0.204
1660     0.194
1661     0.202
1662     0.191
1663     0.185
1664     0.180
1665     0.197
1666    -0.333
1667    -0.292
1668    -0.284
1669     0.017
1670     0.158
1671     0.176
1672     0.248
1673    -0.262
1674    -1.094
1675    -0.287
1676     0.075
1677     0.149
1678     0.181
1679     0.184
1680    -0.588
1681    -0.687
1682    -0.034
1683     0.127
1684     0.271
1685     0.197
1686     0.214
1687     0.273
1688     0.120
1689     0.161
1690     0.087
1691     0.234
1692     0.198
1693    -0.004
1694    -0.666
1695    -1.604
1696    -1.557
1697    -0.965
1698    -0.570
1699    -0.057
1700     0.112
1701     0.211
1702     0.136
1703     0.193
1704     0.205
1705     0.263
1706     0.248
1707     0.195
1708     0.254
1709     0.171
1710     0.177
1711     0.273
1712     0.189
1713    -0.054
1714     0.078
1715     0.158
1716     0.195
1717     0.132
1718     0.154
1719     0.126
1720     0.188
1721     0.153
1722     0.204
1723     0.270
1724     0.242
1725     0.229
1726     0.172
1727     0.211
1728     0.169
1729     0.238
1730     0.180
1731    -0.223
1732    -0.141
1733     0.106
1734     0.191
1735     0.196
1736     0.237
1737     0.121
1738     0.237
1739     0.243
1740    -0.094
1741     0.050
1742     0.139
1743     0.188
1744     0.183
1745    -0.114
1746    -0.024
1747     0.093
1748    -0.040
1749     0.061
1750     0.135
1751     0.157
1752     0.133
1753     0.140
1754     0.175
1755     0.133
1756     0.179
1757     0.148
1758     0.152
1759     0.087
1760     0.145
1761    -0.352
1762    -0.101
1763     0.086
1764     0.093
1765     0.193
1766     0.180
1767     0.098
1768    -0.076
1769    -0.285
1770     0.032
1771     0.098
1772     0.171
1773     0.198
1774     0.150
1775     0.154
1776     0.190
1777     0.175
1778     0.162
1779     0.182
1780     0.132
1781     0.103
1782     0.198
1783    -0.053
1784     0.041
1785     0.161
1786     0.121
1787     0.148
1788     0.116
1789    -0.499
1790    -0.521
1791    -0.086
1792     0.063
1793     0.109
1794     0.015
1795     0.201
1796     0.069
1797     0.170
1798     0.181
1799     0.182
1800     0.272
1801     0.176
1802     0.137
1803     0.216
1804     0.222
1805     0.121
1806     0.163
1807     0.244
1808     0.160
1809    -1.917
1810    -2.089
1811    -0.710
1812    -0.285
1813    -0.246
1814    -0.007
1815    -2.001
1816    -4.578
1817    -1.755
1818    -0.671
1819    -0.097
1820     0.109
1821     0.210
1822     0.153
1823     0.168
1824     0.124
1825     0.141
1826     0.188
1827    -0.253
1828    -0.031
1829     0.082
1830    -0.070
1831    -0.890
1832    -0.851
1833    -0.149
1834    -0.046
1835    -0.856
1836    -0.882
1837    -0.310
1838    -0.023
1839     0.105
1840     0.094
1841     0.152
1842     0.139
1843     0.100
1844     0.052
1845     0.179
1846     0.114
1847     0.235
1848     0.081
1849     0.088
1850     0.111
1851     0.138
1852     0.147
1853    -0.029
1854    -0.032
1855     0.103
1856     0.133
1857     0.156
1858     0.091
1859     0.170
1860     0.006
1861     0.075
1862     0.064
1863     0.095
1864     0.158
1865     0.212
1866     0.171
1867     0.126
1868     0.165
1869     0.083
1870     0.097
1871     0.225
1872     0.164
1873     0.122
1874     0.160
1875     0.179
1876     0.094
1877     0.017
1878    -0.378
1879    -0.084
1880     0.066
1881     0.143
1882     0.155
1883     0.026
1884    -1.982
1885    -0.887
1886    -0.265
1887    -0.128
1888     0.022
1889     0.150
1890     0.028
1891    -0.028
1892     0.073
1893     0.107
1894     0.150
1895     0.121
1896     0.169
1897     0.155
1898     0.153
1899     0.076
1900     0.113
1901     0.106
1902    -0.128
1903    -1.047
1904    -0.324
1905    -0.009
1906     0.095
1907     0.094
1908     0.068
1909     0.132
1910     0.130
1911     0.195
1912     0.159
1913    -0.193
1914    -0.167
1915    -0.134
1916     0.062
1917     0.043
1918     0.037
1919     0.159
1920     0.095
1921     0.114
1922     0.153
