Data to accompany Figure 6.13 of the IPCC AR4 WG1 Palaeoclimate
chapter, showing forcings and NH simulated temperatures.

This file and accompanying figure have been assembled by
Tim Osborn (t.osborn@uea.ac.uk) and Keith Briffa (k.briffa@uea.ac.uk) at the
Climatic Research Unit, School of Environmental Sciences,
University of East Anglia, Norwich, UK,
with help from all the data providers.

Each time series given below is identified by using the same
description as used in the key shown in the figure.
Refer to the figure caption and chapter references for full
details of each source.

Most of the series have been smoothed before being shown in the figure.
THE DATA IN THIS FILE HAVE NOT BEEN SMOOTHED!!!

-------------------------------------------------------------
Data from Panel (a)
-------------------------------------------------------------

Series: GSZ2003
Units:  Volcanic forcing  (W m!U-2!N)

Year     Value
1000     0.191
1001     0.191
1002     0.191
1003     0.191
1004    -0.369
1005    -0.019
1006     0.191
1007     0.191
1008     0.191
1009     0.191
1010     0.191
1011     0.191
1012     0.191
1013     0.191
1014     0.191
1015    -1.762
1016    -0.509
1017     0.191
1018     0.191
1019     0.191
1020     0.191
1021     0.191
1022     0.191
1023     0.191
1024     0.191
1025     0.191
1026    -2.098
1027    -0.649
1028     0.191
1029     0.191
1030     0.191
1031     0.191
1032     0.191
1033     0.191
1034     0.191
1035     0.191
1036     0.191
1037     0.191
1038     0.191
1039     0.191
1040     0.191
1041     0.191
1042     0.191
1043     0.191
1044     0.191
1045     0.191
1046     0.191
1047     0.191
1048     0.191
1049     0.191
1050     0.191
1051     0.191
1052     0.191
1053     0.191
1054     0.191
1055     0.191
1056     0.191
1057     0.191
1058    -2.966
1059    -0.999
1060     0.191
1061     0.191
1062    -0.649
1063    -0.089
1064     0.191
1065     0.191
1066     0.191
1067     0.191
1068     0.191
1069     0.191
1070     0.191
1071     0.191
1072     0.191
1073     0.191
1074     0.191
1075     0.191
1076     0.191
1077     0.191
1078     0.191
1079     0.191
1080    -0.369
1081    -0.019
1082     0.191
1083     0.191
1084     0.191
1085     0.191
1086     0.191
1087     0.191
1088     0.191
1089     0.191
1090     0.191
1091     0.191
1092     0.191
1093     0.191
1094     0.191
1095     0.191
1096     0.191
1097    -1.104
1098    -0.299
1099     0.191
1100     0.191
1101     0.191
1102     0.191
1103     0.191
1104     0.191
1105     0.191
1106     0.191
1107     0.191
1108     0.191
1109     0.191
1110     0.191
1111     0.191
1112     0.191
1113     0.191
1114     0.191
1115     0.191
1116     0.191
1117     0.191
1118     0.191
1119     0.191
1120     0.191
1121     0.191
1122     0.191
1123     0.191
1124     0.191
1125     0.191
1126     0.191
1127     0.191
1128     0.191
1129     0.191
1130     0.191
1131     0.191
1132     0.191
1133     0.191
1134     0.191
1135     0.191
