YEAR,MON,GLOBAL,NH,SH,TRPC,NO.DAYS,GLOBAL,NH,SH,TRPC,DAYS
1980,1,0.030,-0.134,0.194,0.146,25.,-0.059,-0.075,-0.044,0.033,354.
1980,2,0.107,0.014,0.199,0.152,29.,-0.038,-0.055,-0.021,0.043,354.
1980,3,0.003,-0.218,0.224,0.091,31.,-0.025,-0.062,0.011,0.060,354.
1980,4,0.145,-0.032,0.322,0.195,30.,0.002,-0.048,0.052,0.080,354.
1980,5,0.159,0.041,0.278,0.260,31.,0.030,-0.024,0.083,0.113,354.
1980,6,0.097,0.037,0.157,0.263,30.,0.050,-0.005,0.106,0.138,354.
1980,7,0.068,0.032,0.104,0.085,31.,0.061,-0.008,0.130,0.142,354.
1980,8,0.124,0.030,0.218,0.012,31.,0.087,0.003,0.170,0.142,354.
1980,9,0.194,0.054,0.334,0.129,30.,0.100,0.007,0.193,0.146,354.
1980,10,0.087,0.136,0.037,0.090,31.,0.096,0.012,0.180,0.139,354.
1980,11,0.111,0.111,0.111,0.026,30.,0.103,0.016,0.189,0.122,359.
1980,12,-0.071,-0.118,-0.024,-0.015,30.,0.089,-0.002,0.180,0.119,358.
1981,1,0.127,0.111,0.143,-0.125,31.,0.096,0.017,0.176,0.096,364.
1981,2,0.160,0.046,0.273,-0.158,28.,0.100,0.019,0.181,0.072,364.
1981,3,0.124,0.119,0.130,-0.085,25.,0.110,0.047,0.173,0.060,358.
1981,4,0.001,0.077,-0.076,-0.056,21.,0.100,0.055,0.146,0.041,349.
1981,5,0.045,0.083,0.008,-0.012,31.,0.090,0.059,0.122,0.017,349.
1981,6,-0.031,0.023,-0.086,-0.080,30.,0.079,0.058,0.101,-0.013,349.
1981,7,0.039,0.023,0.055,-0.122,31.,0.077,0.057,0.096,-0.031,349.
1981,8,0.051,0.087,0.015,-0.174,23.,0.071,0.061,0.080,-0.045,341.
1981,9,0.026,-0.016,0.069,-0.028,30.,0.056,0.055,0.057,-0.058,341.
1981,10,-0.015,0.029,-0.058,0.048,31.,0.047,0.045,0.048,-0.062,341.
1981,11,-0.017,-0.021,-0.013,0.028,30.,0.035,0.034,0.037,-0.062,341.
1981,12,0.123,0.080,0.165,0.052,31.,0.053,0.051,0.054,-0.056,342.
1982,1,-0.103,-0.236,0.029,-0.082,31.,0.032,0.020,0.044,-0.052,342.
1982,2,-0.108,-0.223,0.007,-0.170,28.,0.010,-0.002,0.022,-0.053,342.
1982,3,-0.248,-0.385,-0.110,-0.109,31.,-0.021,-0.045,0.002,-0.055,348.
1982,4,-0.134,-0.043,-0.226,-0.165,30.,-0.032,-0.052,-0.012,-0.065,357.
1982,5,-0.156,-0.292,-0.021,-0.101,31.,-0.050,-0.084,-0.015,-0.072,357.
1982,6,-0.113,-0.248,0.023,-0.002,30.,-0.056,-0.107,-0.006,-0.066,357.
1982,7,-0.258,-0.237,-0.279,-0.113,31.,-0.082,-0.130,-0.035,-0.065,357.
1982,8,-0.192,-0.284,-0.100,-0.137,31.,-0.100,-0.157,-0.043,-0.064,365.
1982,9,-0.146,-0.247,-0.046,-0.105,24.,-0.114,-0.174,-0.053,-0.070,359.
1982,10,-0.229,-0.348,-0.109,-0.251,31.,-0.132,-0.207,-0.057,-0.096,359.
1982,11,-0.132,-0.431,0.167,0.025,30.,-0.142,-0.241,-0.042,-0.096,359.
1982,12,-0.014,-0.073,0.046,0.168,31.,-0.153,-0.255,-0.052,-0.086,359.
1983,1,0.128,0.125,0.131,0.568,31.,-0.134,-0.223,-0.044,-0.030,359.
1983,2,-0.026,-0.180,0.128,0.534,28.,-0.127,-0.220,-0.034,0.025,359.
1983,3,0.245,0.167,0.323,0.568,31.,-0.085,-0.172,0.003,0.083,359.
1983,4,0.167,-0.004,0.337,0.453,30.,-0.059,-0.169,0.050,0.135,359.
1983,5,0.186,-0.018,0.389,0.381,31.,-0.030,-0.145,0.086,0.177,359.
1983,6,-0.082,-0.180,0.016,0.209,30.,-0.027,-0.140,0.085,0.194,359.
1983,7,0.118,0.136,0.100,0.386,31.,0.005,-0.107,0.118,0.237,359.
1983,8,0.059,0.088,0.030,0.156,31.,0.027,-0.075,0.129,0.263,359.
1983,9,0.081,0.034,0.128,0.095,30.,0.043,-0.055,0.140,0.273,365.
1983,10,-0.093,-0.166,-0.019,-0.097,31.,0.054,-0.040,0.148,0.286,365.
1983,11,-0.041,0.020,-0.101,-0.077,30.,0.062,-0.003,0.126,0.278,365.
1983,12,-0.313,-0.336,-0.289,-0.331,31.,0.036,-0.025,0.098,0.235,365.
1984,1,-0.316,-0.376,-0.255,-0.421,28.,0.001,-0.065,0.067,0.156,362.
1984,2,-0.203,-0.335,-0.070,-0.252,29.,-0.013,-0.078,0.051,0.093,362.
1984,3,-0.126,-0.341,0.090,-0.102,31.,-0.045,-0.121,0.031,0.036,362.
1984,4,-0.218,-0.324,-0.112,-0.170,27.,-0.076,-0.146,-0.006,-0.014,359.
1984,5,-0.044,-0.216,0.127,-0.259,31.,-0.095,-0.162,-0.028,-0.069,359.
1984,6,-0.231,-0.177,-0.286,-0.338,30.,-0.108,-0.163,-0.052,-0.115,359.
1984,7,-0.266,-0.296,-0.235,-0.443,31.,-0.141,-0.201,-0.081,-0.186,359.
1984,8,-0.205,-0.174,-0.236,-0.270,31.,-0.164,-0.223,-0.105,-0.223,359.
1984,9,-0.486,-0.459,-0.512,-0.548,30.,-0.212,-0.265,-0.159,-0.276,359.
1984,10,-0.193,-0.254,-0.131,-0.336,31.,-0.220,-0.272,-0.168,-0.296,359.
1984,11,-0.417,-0.586,-0.247,-0.494,30.,-0.251,-0.323,-0.179,-0.330,359.
1984,12,-0.392,-0.605,-0.179,-0.388,28.,-0.256,-0.343,-0.169,-0.335,356.
1985,1,-0.157,-0.217,-0.098,-0.251,31.,-0.242,-0.328,-0.156,-0.321,359.
1985,2,-0.224,-0.160,-0.288,-0.241,28.,-0.245,-0.315,-0.174,-0.321,359.
1985,3,-0.129,-0.317,0.059,-0.222,31.,-0.245,-0.313,-0.177,-0.331,359.
1985,4,-0.200,-0.307,-0.093,-0.506,30.,-0.243,-0.312,-0.175,-0.358,362.
1985,5,-0.247,-0.211,-0.283,-0.346,31.,-0.261,-0.312,-0.210,-0.365,362.
1985,6,-0.247,-0.349,-0.145,-0.410,30.,-0.262,-0.326,-0.198,-0.371,362.
1985,7,-0.377,-0.541,-0.213,-0.583,27.,-0.270,-0.345,-0.196,-0.381,358.
1985,8,-0.200,-0.370,-0.029,-0.340,31.,-0.270,-0.362,-0.178,-0.387,358.
1985,9,-0.198,-0.335,-0.061,-0.324,27.,-0.246,-0.352,-0.141,-0.368,355.
1985,10,-0.290,-0.311,-0.269,-0.242,31.,-0.255,-0.357,-0.153,-0.360,355.
1985,11,-0.148,-0.129,-0.167,-0.258,27.,-0.233,-0.319,-0.146,-0.341,352.
