year_stop,resid,length
902,-1,2
910,1,8
911,-1,1
913,1,2
914,-1,1
915,1,1
916,-1,1
922,1,6
923,-1,1
924,1,1
925,-1,1
926,1,1
931,-1,5
932,1,1
933,-1,1
940,1,7
941,-1,1
942,1,1
943,-1,1
947,1,4
949,-1,2
950,1,1
952,-1,2
953,1,1
955,-1,2
960,1,5
963,-1,3
964,1,1
968,-1,4
969,1,1
971,-1,2
974,1,3
975,-1,1
976,1,1
977,-1,1
983,1,6
985,-1,2
986,1,1
987,-1,1
1002,1,15
1017,-1,15
1020,1,3
1028,-1,8
1030,1,2
1060,-1,30
1063,1,3
1065,-1,2
1066,1,1
1100,-1,34
1101,1,1
1113,-1,12
1117,1,4
1119,-1,2
1122,1,3
1158,-1,36
1159,1,1
1168,-1,9
1173,1,5
1177,-1,4
1184,1,7
1193,-1,9
1194,1,1
1196,-1,2
1203,1,7
1205,-1,2
1206,1,1
1207,-1,1
1213,1,6
1215,-1,2
1217,1,2
1229,-1,12
1237,1,8
1239,-1,2
1241,1,2
1260,-1,19
1286,1,26
1287,-1,1
1301,1,14
1302,-1,1
1303,1,1
1331,-1,28
1334,1,3
1347,-1,13
1356,1,9
1358,-1,2
1359,1,1
1360,-1,1
1366,1,6
1368,-1,2
1371,1,3
1372,-1,1
1373,1,1
1377,-1,4
1383,1,6
1389,-1,6
1394,1,5
1455,-1,61
1458,1,3
1461,-1,3
1466,1,5
1468,-1,2
1470,1,2
1483,-1,13
1489,1,6
1507,-1,18
1509,1,2
1510,-1,1
1511,1,1
1567,-1,56
1569,1,2
1584,-1,15
1585,1,1
1587,-1,2
1661,1,74
1663,-1,2
1665,1,2
1666,-1,1
1675,1,9
1676,-1,1
1784,1,108
1785,-1,1
1800,1,15
1803,-1,3
1804,1,1
1811,-1,7
1866,1,55
1873,-1,7
1874,1,1
1883,-1,9
1884,1,1
1885,-1,1
1890,1,5
1894,-1,4
1895,1,1
1905,-1,10
1907,1,2
1916,-1,9
1919,1,3
2001,,82
