         Jan   Feb   Mar   Apr   May  June  July   Aug  Sept   Oct   Nov   Dec  Avg
  1856 -0.40 -0.35 -0.27 -0.45 -0.35 -0.38 -0.35 -0.25 -0.34 -0.27 -0.38 -0.39 -0.35
  1857 -0.19 -0.38 -0.46 -0.33 -0.59 -0.48 -0.51 -0.56 -0.51 -0.70 -0.78 -0.65 -0.51
  1858 -0.73 -0.70 -0.56 -0.46 -0.41 -0.45 -0.40 -0.27 -0.32 -0.33 -0.33 -0.16 -0.43
  1859 -0.38 -0.42 -0.32 -0.30 -0.21 -0.50 -0.47 -0.29 -0.41 -0.23 -0.33  0.01 -0.32
  1860 -0.26 -0.40 -0.26 -0.46 -0.43 -0.24 -0.23 -0.33 -0.32 -0.39 -0.49 -0.41 -0.35
  1861 -0.40 -0.78 -0.68 -0.17 -0.62 -0.39 -0.42 -0.20 -0.37 -0.45 -0.51 -0.28 -0.44
  1862 -0.51 -0.49 -0.35 -0.28 -0.24 -0.28 -0.47 -0.74 -0.43 -0.42 -0.74 -0.58 -0.46
  1863 -0.40 -0.35 -0.44 -0.27 -0.49 -0.45 -0.54 -0.45 -0.40 -0.37 -0.48 -0.28 -0.41
  1864 -0.69 -0.74 -0.62 -0.44 -0.34 -0.38 -0.26 -0.41 -0.42 -0.43 -0.20 -0.29 -0.44
  1865 -0.24 -0.18 -0.24 -0.18 -0.34 -0.32 -0.35 -0.25 -0.30 -0.34 -0.41 -0.28 -0.29
  1866 -0.16 -0.09 -0.34 -0.32 -0.46 -0.01 -0.14 -0.26 -0.36 -0.19 -0.20 -0.43 -0.25
  1867 -0.16 -0.29 -0.15 -0.20 -0.21 -0.37 -0.24 -0.28 -0.15 -0.27 -0.25 -0.51 -0.26
  1868 -0.46 -0.26 -0.04 -0.23 -0.31 -0.46 -0.21 -0.28 -0.19 -0.33 -0.25 -0.24 -0.27
  1869 -0.40 -0.15 -0.46 -0.26 -0.27 -0.43 -0.35 -0.38 -0.36 -0.37 -0.48 -0.52 -0.37
  1870 -0.25 -0.32 -0.30 -0.29 -0.51 -0.50 -0.30 -0.28 -0.29 -0.37 -0.29 -0.30 -0.33
  1871 -0.28 -0.32 -0.18 -0.24 -0.28 -0.32 -0.16 -0.39 -0.33 -0.52 -0.24 -0.31 -0.30
  1872 -0.37 -0.40 -0.37 -0.30 -0.30 -0.30 -0.22 -0.08 -0.18 -0.37 -0.20 -0.33 -0.29
  1873 -0.15 -0.31 -0.28 -0.33 -0.33 -0.48 -0.30 -0.30 -0.39 -0.33 -0.43 -0.42 -0.34
  1874 -0.21 -0.46 -0.54 -0.62 -0.56 -0.58 -0.25 -0.46 -0.32 -0.55 -0.55 -0.57 -0.47
  1875 -0.37 -0.19 -0.34 -0.31 -0.12 -0.26 -0.42 -0.21 -0.25 -0.21 -0.43 -0.41 -0.29
  1876 -0.48 -0.50 -0.35 -0.47 -0.50 -0.53 -0.39 -0.31 -0.49 -0.45 -0.51 -0.38 -0.45
  1877 -0.43 -0.18 -0.21 -0.22 -0.45 -0.21 -0.14 -0.15  0.02  0.04 -0.18  0.03 -0.17
  1878  0.09  0.08  0.09  0.16 -0.06 -0.10 -0.16 -0.11 -0.15 -0.22 -0.35 -0.25 -0.08
  1879 -0.22 -0.24 -0.26 -0.35 -0.26 -0.28 -0.30 -0.25 -0.24 -0.33 -0.37 -0.41 -0.29
  1880 -0.33 -0.30 -0.19 -0.20 -0.42 -0.46 -0.31 -0.18 -0.30 -0.33 -0.25 -0.19 -0.29
  1881 -0.19 -0.22 -0.13 -0.13 -0.12 -0.20 -0.10 -0.13 -0.31 -0.32 -0.44 -0.32 -0.22
  1882 -0.25 -0.21 -0.15 -0.25 -0.24 -0.31 -0.18 -0.25 -0.17 -0.34 -0.30 -0.39 -0.25
  1883 -0.25 -0.17 -0.14 -0.31 -0.28 -0.18 -0.21 -0.19 -0.28 -0.40 -0.28 -0.36 -0.25
  1884 -0.31 -0.24 -0.23 -0.27 -0.31 -0.30 -0.30 -0.26 -0.23 -0.31 -0.52 -0.36 -0.30
  1885 -0.30 -0.44 -0.33 -0.33 -0.32 -0.51 -0.28 -0.20 -0.20 -0.20 -0.10 -0.15 -0.28
  1886 -0.12 -0.24 -0.19 -0.15 -0.07 -0.19 -0.16 -0.11 -0.21 -0.28 -0.30 -0.36 -0.20
  1887 -0.30 -0.48 -0.29 -0.42 -0.37 -0.40 -0.21 -0.27 -0.31 -0.32 -0.36 -0.34 -0.34
  1888 -0.42 -0.35 -0.23 -0.25 -0.19 -0.20 -0.29 -0.18 -0.17 -0.01 -0.07 -0.12 -0.21
  1889  0.02  0.01  0.02 -0.08 -0.11 -0.13 -0.17 -0.19 -0.23 -0.22 -0.18 -0.23 -0.12
  1890 -0.35 -0.27 -0.28 -0.38 -0.36 -0.34 -0.35 -0.41 -0.49 -0.48 -0.48 -0.33 -0.38
  1891 -0.39 -0.30 -0.23 -0.23 -0.15 -0.28 -0.19 -0.16 -0.20 -0.18 -0.32 -0.28 -0.24
  1892 -0.25 -0.12 -0.25 -0.33 -0.33 -0.44 -0.52 -0.38 -0.33 -0.45 -0.44 -0.51 -0.36
  1893 -0.45 -0.33 -0.31 -0.48 -0.45 -0.32 -0.21 -0.28 -0.34 -0.28 -0.40 -0.34 -0.35
  1894 -0.37 -0.33 -0.41 -0.39 -0.44 -0.35 -0.33 -0.33 -0.34 -0.39 -0.39 -0.41 -0.37
  1895 -0.21 -0.27 -0.43 -0.35 -0.41 -0.33 -0.28 -0.21 -0.22 -0.21 -0.16 -0.29 -0.28
  1896 -0.20 -0.20 -0.17 -0.14 -0.15 -0.11 -0.09 -0.03  0.05 -0.16  0.03 -0.05 -0.10
  1897 -0.04 -0.04  0.11 -0.03 -0.08 -0.08 -0.13 -0.13 -0.17 -0.18 -0.37 -0.20 -0.11
  1898 -0.22 -0.26 -0.40 -0.41 -0.33 -0.22 -0.25 -0.26 -0.28 -0.36 -0.40 -0.36 -0.31
  1899 -0.26 -0.30 -0.31 -0.30 -0.24 -0.28 -0.16 -0.07 -0.16 -0.19 -0.14 -0.19 -0.22
  1900 -0.15 -0.02 -0.14 -0.08 -0.21 -0.12 -0.07 -0.17 -0.13 -0.15 -0.28 -0.21 -0.14
  1901 -0.14 -0.19 -0.28 -0.19 -0.19 -0.32 -0.29 -0.23 -0.33 -0.32 -0.51 -0.40 -0.28
  1902 -0.41 -0.33 -0.45 -0.40 -0.41 -0.40 -0.34 -0.36 -0.29 -0.38 -0.37 -0.30 -0.37
  1903 -0.32 -0.33 -0.34 -0.43 -0.40 -0.52 -0.45 -0.58 -0.57 -0.60 -0.54 -0.58 -0.47
  1904 -0.56 -0.46 -0.50 -0.51 -0.54 -0.51 -0.43 -0.49 -0.45 -0.43 -0.45 -0.33 -0.47
  1905 -0.42 -0.43 -0.40 -0.43 -0.29 -0.33 -0.26 -0.34 -0.36 -0.46 -0.41 -0.26 -0.37
  1906 -0.23 -0.21 -0.27 -0.27 -0.39 -0.33 -0.35 -0.33 -0.35 -0.46 -0.50 -0.46 -0.35
  1907 -0.40 -0.47 -0.36 -0.39 -0.42 -0.47 -0.45 -0.45 -0.43 -0.43 -0.46 -0.44 -0.43
  1908 -0.52 -0.41 -0.51 -0.51 -0.53 -0.48 -0.44 -0.49 -0.52 -0.54 -0.58 -0.60 -0.51
  1909 -0.47 -0.55 -0.59 -0.48 -0.51 -0.52 -0.59 -0.44 -0.37 -0.46 -0.56 -0.56 -0.51
  1910 -0.43 -0.49 -0.49 -0.50 -0.53 -0.55 -0.50 -0.48 -0.42 -0.51 -0.54 -0.59 -0.50
  1911 -0.48 -0.58 -0.54 -0.63 -0.58 -0.53 -0.46 -0.43 -0.43 -0.40 -0.40 -0.29 -0.48
  1912 -0.32 -0.29 -0.21 -0.22 -0.37 -0.33 -0.36 -0.46 -0.48 -0.48 -0.47 -0.43 -0.37
  1913 -0.44 -0.34 -0.47 -0.59 -0.52 -0.48 -0.46 -0.49 -0.44 -0.45 -0.48 -0.38 -0.46
  1914 -0.42 -0.38 -0.32 -0.32 -0.31 -0.34 -0.31 -0.23 -0.33 -0.11 -0.22 -0.30 -0.30
  1915 -0.22 -0.29 -0.19 -0.13 -0.08  0.08 -0.09 -0.10 -0.11 -0.19 -0.20 -0.46 -0.17
  1916 -0.40 -0.29 -0.28 -0.34 -0.44 -0.42 -0.41 -0.28 -0.27 -0.27 -0.56 -0.33 -0.36
  1917 -0.59 -0.51 -0.65 -0.43 -0.43 -0.27 -0.20 -0.23 -0.25 -0.39 -0.48 -0.55 -0.42
  1918 -0.23 -0.54 -0.44 -0.49 -0.33 -0.45 -0.36 -0.50 -0.47 -0.40 -0.23 -0.39 -0.40
  1919 -0.27 -0.10 -0.27 -0.06 -0.29 -0.28 -0.37 -0.42 -0.32 -0.35 -0.49 -0.44 -0.31
  1920 -0.33 -0.42 -0.17 -0.07 -0.11 -0.10 -0.25 -0.12 -0.25 -0.16 -0.32 -0.39 -0.22
  1921 -0.46 -0.32 -0.39 -0.29 -0.37 -0.27 -0.16 -0.22 -0.25 -0.19 -0.38 -0.29 -0.30
  1922 -0.36 -0.17 -0.42 -0.43 -0.48 -0.40 -0.31 -0.32 -0.35 -0.40 -0.43 -0.42 -0.37
  1923 -0.34 -0.34 -0.33 -0.27 -0.29 -0.29 -0.41 -0.42 -0.46 -0.48 -0.21 -0.21 -0.34
  1924 -0.29 -0.22 -0.31 -0.23 -0.27 -0.30 -0.26 -0.25 -0.40 -0.41 -0.66 -0.55 -0.35
  1925 -0.53 -0.48 -0.36 -0.34 -0.31 -0.28 -0.18 -0.25 -0.27 -0.29 -0.24 -0.20 -0.31
  1926 -0.17 -0.18 -0.07 -0.09 -0.07 -0.18 -0.18 -0.01 -0.15 -0.14 -0.26 -0.11 -0.13
  1927 -0.21 -0.15 -0.17 -0.17 -0.20 -0.23 -0.13 -0.05 -0.15 -0.23 -0.29 -0.25 -0.19
  1928 -0.26 -0.26 -0.26 -0.26 -0.28 -0.24 -0.16 -0.17 -0.24 -0.29 -0.27 -0.36 -0.25
